Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-05-10,BRITANNIA,Britannia Industries Limited,Sold,Bought,-5.06%,5520.00
2026-05-10,DALBHARAT,Odisha Cement Limited,Sold,Bought,-7.63%,1823.60
2026-05-10,NUVAMA,Nuvama Wealth Manage Ltd,Bought,Bought,10.65%,1631.50
2026-05-10,DABUR,Dabur India Limited,Bought,Bought,3.77%,487.70
2026-05-10,KALYANKJIL,Kalyan Jewellers Ind Ltd,Bought,Bought,3.26%,424.55
2026-05-10,PIDILITIND,Pidilite Industries Limited,Bought,Bought,1.77%,1476.00
2026-05-10,TITAN,Titan Company Limited,Bought,Bought,4.68%,4509.00
2026-05-10,FORTIS,Fortis Healthcare Limited,Bought,Bought,0.49%,952.35
2026-05-10,NBCC,National Buildings Construction Corporation Limited,Bought,Bought,3.91%,100.64
2026-05-10,SBIN,State Bank of India,Sold,Bought,-6.66%,1019.30
2026-05-10,PNBHOUSING,Pnb Housing Fin Ltd.,Bought,Bought,3.77%,1091.20
2026-05-10,TATACONSUM,Tata Consumer Product Ltd,Bought,Bought,2.13%,1176.20
2026-05-10,PFC,Power Finance Corporation Limited,Bought,Bought,0.83%,461.35
2026-05-10,LUPIN,Lupin Limited,Sold,Bought,-3.28%,2379.50
2026-05-10,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Bought,Bought,3.32%,8097.00
2026-05-10,ASIANPAINT,Asian Paints Limited,Bought,Bought,2.74%,2599.90
2026-05-10,INDIANB,Indian Bank,Bought,Bought,0.56%,865.55
2026-05-10,GODFRYPHLP,Godfrey Phillips India Limited,Bought,Bought,3.61%,2424.80
2026-05-10,ANGELONE,Angel One Limited,Bought,Bought,1.05%,326.00
2026-05-10,BSE,Bse Limited,Sold,Bought,-1.42%,3907.40
2026-05-10,PAGEIND,Page Industries Limited,Bought,Sold,0.05%,37365.00
2026-05-10,OBEROIRLTY,Oberoi Realty Limited,Bought,Bought,1.67%,1703.00
2026-05-10,KAYNES,Kaynes Technology Ind Ltd,Bought,Bought,2.92%,4507.50
2026-05-10,BANKBARODA,Bank of Baroda,Sold,Bought,-2.39%,263.90
2026-05-10,GLENMARK,Glenmark Pharmaceuticals Limited,Sold,Bought,-0.22%,2366.40
2026-05-10,MANKIND,Mankind Pharma Limited,Bought,Bought,2.34%,2430.80
2026-05-10,COFORGE,Coforge Limited,Bought,Bought,6.44%,1368.10
2026-05-10,MCX,Multi Commodity Exchange of India Limited,Bought,Bought,1.81%,3097.80
2026-05-10,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Bought,Bought,1.59%,1760.40
