date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,145.99,149.99,142.9,145.89,8324371,0
2026-01-13 00:00:00+05:30,146.9,147.98,145.8,147.56,5614349,0
2026-01-14 00:00:00+05:30,147.76,153.73,146.12,152.87,16837377,0
2026-01-16 00:00:00+05:30,153.5,157.58,153.45,157.34,17659016,0
2026-01-19 00:00:00+05:30,157.6,164.34,157.0,163.05,35194066,0
2026-01-20 00:00:00+05:30,163.05,165.33,159.1,159.75,19736674,0
2026-01-21 00:00:00+05:30,160.0,162.54,156.24,157.48,17533985,0
2026-01-22 00:00:00+05:30,161.0,168.4,161.0,166.42,42718644,0
2026-01-23 00:00:00+05:30,166.16,166.3,159.06,159.65,15396336,0
2026-01-27 00:00:00+05:30,160.2,164.25,158.7,163.17,17486540,0
2026-01-28 00:00:00+05:30,163.95,167.68,162.37,167.34,15122267,0
2026-01-29 00:00:00+05:30,167.7,169.9,163.12,164.91,18770105,0
2026-01-30 00:00:00+05:30,164.0,167.43,162.0,164.1,11736534,0
2026-02-01 00:00:00+05:30,164.11,164.12,149.01,150.44,18084329,0
2026-02-02 00:00:00+05:30,150.44,152.4,146.4,151.67,17969570,0
2026-02-03 00:00:00+05:30,158.0,160.87,155.61,158.01,19569935,0
2026-02-04 00:00:00+05:30,158.0,161.55,156.2,160.93,8224127,0
2026-02-05 00:00:00+05:30,160.95,164.87,160.83,163.46,12318378,0
2026-02-06 00:00:00+05:30,163.38,164.85,161.0,163.66,12267604,0
2026-02-09 00:00:00+05:30,166.0,170.5,165.69,168.41,14437299,0
2026-02-10 00:00:00+05:30,168.5,168.94,165.35,167.57,6303083,0
2026-02-11 00:00:00+05:30,167.5,167.6,163.11,167.13,8276865,0
2026-02-12 00:00:00+05:30,166.2,166.9,163.54,165.28,5243794,0
2026-02-13 00:00:00+05:30,164.1,164.45,161.26,161.79,8120034,0
2026-02-16 00:00:00+05:30,161.0,166.21,159.56,165.61,9299801,0
2026-02-17 00:00:00+05:30,165.6,171.0,165.0,170.21,15325479,0
2026-02-18 00:00:00+05:30,171.26,173.29,170.45,172.55,11782447,0
2026-02-19 00:00:00+05:30,172.33,173.45,168.35,169.16,6852486,0
2026-02-20 00:00:00+05:30,169.0,172.62,168.16,171.7,7073597,0
2026-02-23 00:00:00+05:30,172.41,174.67,171.83,174.13,9288166,0
2026-02-24 00:00:00+05:30,174.0,178.22,173.02,175.5,22315167,0
2026-02-25 00:00:00+05:30,175.8,176.35,173.7,175.58,9784182,0
