date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,727.3,728.0,703.75,710.5,1662637,0
2026-01-13 00:00:00+05:30,715.0,715.9,699.0,711.0,1503619,0
2026-01-14 00:00:00+05:30,712.0,734.0,711.0,721.15,1114112,0
2026-01-16 00:00:00+05:30,721.15,735.5,715.1,727.8,1312452,0
2026-01-19 00:00:00+05:30,722.25,728.7,715.1,724.2,1269201,0
2026-01-20 00:00:00+05:30,724.0,728.8,706.3,710.1,1130050,0
2026-01-21 00:00:00+05:30,706.5,714.0,686.55,700.6,1280105,0
2026-01-22 00:00:00+05:30,710.95,743.0,703.0,707.75,3818736,0
2026-01-23 00:00:00+05:30,709.2,717.95,675.1,679.4,2007665,0
2026-01-27 00:00:00+05:30,685.0,711.4,683.15,697.7,1676044,0
2026-01-28 00:00:00+05:30,698.05,712.95,698.05,709.4,853242,0
2026-01-29 00:00:00+05:30,711.9,714.0,698.1,708.0,848267,0
2026-01-30 00:00:00+05:30,706.75,706.8,693.0,695.05,774625,0
2026-02-01 00:00:00+05:30,695.1,703.0,652.05,676.1,896900,0
2026-02-02 00:00:00+05:30,669.0,696.95,662.0,693.9,976799,0
2026-02-03 00:00:00+05:30,727.0,740.0,718.7,728.45,1800342,0
2026-02-04 00:00:00+05:30,728.45,738.6,721.15,735.7,946621,0
2026-02-05 00:00:00+05:30,732.05,733.0,721.0,731.4,518026,0
2026-02-06 00:00:00+05:30,727.25,728.5,710.0,722.4,997082,0
2026-02-09 00:00:00+05:30,732.55,741.65,725.05,736.4,1253751,0
2026-02-10 00:00:00+05:30,739.85,746.9,736.45,742.6,794626,0
2026-02-11 00:00:00+05:30,744.75,748.5,738.8,747.1,560346,0
2026-02-12 00:00:00+05:30,743.3,744.75,727.0,730.4,822033,0
2026-02-13 00:00:00+05:30,726.0,728.8,715.0,721.05,487002,0
2026-02-16 00:00:00+05:30,713.95,738.8,710.5,737.15,884300,0
2026-02-17 00:00:00+05:30,738.0,744.55,725.8,734.6,545311,0
2026-02-18 00:00:00+05:30,735.05,741.05,730.1,736.95,545305,0
2026-02-19 00:00:00+05:30,736.0,737.15,718.0,721.3,471815,0
2026-02-20 00:00:00+05:30,719.45,725.4,715.9,720.25,407454,0
2026-02-23 00:00:00+05:30,724.8,729.8,711.2,718.0,621904,0
2026-02-24 00:00:00+05:30,714.0,717.15,703.0,709.2,624360,0
2026-02-25 00:00:00+05:30,709.35,718.85,707.0,713.75,669618,0
2026-02-26 00:00:00+05:30,717.0,717.0,702.1,708.6,539943,0
2026-02-27 00:00:00+05:30,710.0,710.0,673.6,677.6,2005279,0
2026-03-02 00:00:00+05:30,653.6,673.65,641.1,651.3,2715604,0
2026-03-04 00:00:00+05:30,640.3,642.0,624.15,629.9,3113387,0
