date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,597.0,597.7,579.5,585.8,6209951,0
2026-01-13 00:00:00+05:30,588.35,594.55,574.45,581.6,3362663,0
2026-01-14 00:00:00+05:30,580.0,585.0,574.7,576.9,1928785,0
2026-01-16 00:00:00+05:30,575.45,581.4,560.25,561.7,3677834,0
2026-01-19 00:00:00+05:30,580.0,607.0,580.0,590.0,17314136,0
2026-01-20 00:00:00+05:30,588.0,591.0,569.0,573.75,4163249,0
2026-01-21 00:00:00+05:30,573.5,576.9,555.95,575.3,5174187,0
2026-01-22 00:00:00+05:30,581.0,581.8,568.0,574.25,1591278,0
2026-01-23 00:00:00+05:30,574.0,576.2,547.35,549.1,3868313,0
2026-01-27 00:00:00+05:30,557.0,557.0,525.5,530.65,10101452,0
2026-01-28 00:00:00+05:30,535.2,583.65,535.2,581.95,12172783,0
2026-01-29 00:00:00+05:30,585.85,592.95,570.45,590.3,5474860,0
2026-01-30 00:00:00+05:30,590.0,590.8,576.15,584.05,3742695,0
2026-02-01 00:00:00+05:30,589.9,620.0,548.45,596.9,14930243,0
2026-02-02 00:00:00+05:30,600.45,609.95,586.4,608.35,3460394,0
2026-02-03 00:00:00+05:30,658.35,669.15,650.8,661.55,14524072,0
2026-02-04 00:00:00+05:30,667.75,676.0,656.0,669.6,5225273,0
2026-02-05 00:00:00+05:30,670.95,672.2,656.6,668.0,2521396,0
2026-02-06 00:00:00+05:30,669.9,676.0,663.3,674.85,2721504,0
2026-02-09 00:00:00+05:30,679.7,695.7,678.25,690.35,2569205,0
2026-02-10 00:00:00+05:30,694.95,694.95,668.65,681.55,3481303,0
2026-02-11 00:00:00+05:30,685.0,687.0,674.2,685.6,2139674,0
2026-02-12 00:00:00+05:30,685.85,688.9,678.6,685.1,1950086,0
2026-02-13 00:00:00+05:30,680.0,684.5,671.4,680.15,1143123,0
2026-02-16 00:00:00+05:30,677.0,691.0,676.55,688.75,1176827,0
2026-02-17 00:00:00+05:30,689.0,695.9,684.85,690.5,2312868,0
2026-02-18 00:00:00+05:30,692.35,714.5,687.4,710.55,3814598,0
2026-02-19 00:00:00+05:30,710.65,719.4,693.4,696.55,2348262,0
2026-02-20 00:00:00+05:30,692.0,717.4,691.65,712.15,2612721,0
2026-02-23 00:00:00+05:30,720.0,722.7,713.5,720.5,1783385,0
2026-02-24 00:00:00+05:30,713.0,727.0,713.0,724.5,1900203,0
2026-02-25 00:00:00+05:30,725.0,728.0,710.65,713.4,2099052,0
2026-02-26 00:00:00+05:30,715.5,733.7,711.05,726.75,4352772,0
2026-02-27 00:00:00+05:30,726.75,728.7,719.6,725.2,2608297,0
2026-03-02 00:00:00+05:30,688.95,719.2,688.9,711.85,2579526,0
2026-03-04 00:00:00+05:30,700.0,702.0,676.4,684.9,3881115,0
2026-03-05 00:00:00+05:30,689.0,702.85,683.4,701.1,1348514,0
2026-03-06 00:00:00+05:30,700.0,722.5,696.0,715.45,2922020,0
2026-03-09 00:00:00+05:30,704.9,704.9,684.2,697.55,2675404,0
2026-03-10 00:00:00+05:30,706.0,731.95,703.3,728.2,3876241,0
2026-03-11 00:00:00+05:30,730.4,741.5,724.05,726.3,2728417,0
2026-03-12 00:00:00+05:30,723.45,740.25,701.6,737.3,3548443,0
2026-03-13 00:00:00+05:30,740.55,749.0,706.45,709.9,5430860,0
2026-03-16 00:00:00+05:30,708.65,711.8,680.1,698.65,3890962,0
2026-03-17 00:00:00+05:30,701.0,712.0,697.0,708.4,2292184,0
2026-03-18 00:00:00+05:30,709.3,716.95,702.2,707.15,1560683,0
2026-03-19 00:00:00+05:30,697.0,700.5,683.45,686.7,1682758,0
2026-03-20 00:00:00+05:30,697.0,709.0,678.65,681.6,2720138,0
2026-03-23 00:00:00+05:30,675.15,675.5,642.8,664.1,3640981,0
2026-03-24 00:00:00+05:30,680.0,680.95,658.75,667.3,3376154,0
2026-03-25 00:00:00+05:30,677.25,693.95,675.0,692.25,2736013,0
2026-03-27 00:00:00+05:30,687.7,688.8,666.0,667.95,3464175,0
2026-03-30 00:00:00+05:30,656.0,672.95,651.5,655.05,4829822,0
2026-04-01 00:00:00+05:30,673.0,690.25,672.4,680.3,2316056,0
2026-04-02 00:00:00+05:30,670.25,683.25,655.6,680.05,2098148,0
2026-04-06 00:00:00+05:30,681.9,689.85,671.65,687.3,2378124,0
2026-04-07 00:00:00+05:30,684.0,694.85,671.25,693.9,2287422,0
2026-04-08 00:00:00+05:30,715.15,730.55,705.9,726.3,2887427,0
2026-04-09 00:00:00+05:30,725.95,735.0,716.05,720.6,2673685,0
2026-04-10 00:00:00+05:30,727.15,735.6,720.0,731.1,2096526,0
2026-04-13 00:00:00+05:30,710.0,727.95,705.2,716.1,2060416,0
2026-04-15 00:00:00+05:30,727.0,750.0,726.5,748.0,4100236,0
2026-04-16 00:00:00+05:30,759.05,761.7,747.25,755.9,3570965,0
2026-04-17 00:00:00+05:30,760.0,776.5,748.35,774.8,4137167,0
2026-04-20 00:00:00+05:30,775.95,804.65,764.2,795.7,5497243,0
2026-04-21 00:00:00+05:30,800.0,819.6,798.15,805.25,3645438,0
2026-04-22 00:00:00+05:30,805.25,835.0,803.0,824.35,4826906,0
2026-04-23 00:00:00+05:30,825.7,842.0,821.4,837.8,3763003,0
2026-04-24 00:00:00+05:30,844.5,846.9,809.0,823.15,3994254,0
2026-04-27 00:00:00+05:30,823.35,834.95,818.1,820.3,2549032,0
2026-04-28 00:00:00+05:30,820.7,836.4,820.7,831.2,1966693,0
2026-04-29 00:00:00+05:30,835.35,840.0,820.3,825.6,2354905,0
2026-04-30 00:00:00+05:30,824.75,824.75,803.9,813.35,3248937,0
2026-05-04 00:00:00+05:30,819.0,828.0,800.5,802.3,2569215,0
2026-05-05 00:00:00+05:30,800.0,833.0,794.1,826.9,6919738,0
2026-05-06 00:00:00+05:30,832.8,839.5,804.0,828.9,8627698,0
