date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,99.5,100.62,97.72,99.88,13213014,0
2026-01-13 00:00:00+05:30,99.8,100.5,98.55,99.27,6978211,0
2026-01-14 00:00:00+05:30,98.54,100.13,98.16,99.7,19678439,0
2026-01-16 00:00:00+05:30,99.99,102.47,99.69,99.9,15001263,0
2026-01-19 00:00:00+05:30,99.9,101.2,99.21,100.23,5955988,0
2026-01-20 00:00:00+05:30,100.8,100.8,95.42,95.93,10626100,0
2026-01-21 00:00:00+05:30,96.22,96.35,93.36,93.84,13017979,0
2026-01-22 00:00:00+05:30,94.99,96.44,94.6,95.1,4884886,0
2026-01-23 00:00:00+05:30,95.23,95.39,90.98,91.21,9986400,0
2026-01-27 00:00:00+05:30,91.31,93.11,89.35,92.64,40547468,0
2026-01-28 00:00:00+05:30,93.1,94.25,92.08,93.91,20849768,0
2026-01-29 00:00:00+05:30,93.91,94.49,92.91,94.18,8994967,0
2026-01-30 00:00:00+05:30,92.9,94.4,92.9,93.89,20963609,0
2026-02-01 00:00:00+05:30,94.0,94.3,88.01,89.8,6682227,0
2026-02-02 00:00:00+05:30,89.87,94.31,89.12,94.01,26494437,0
2026-02-03 00:00:00+05:30,96.01,97.58,94.34,95.22,15238593,0
2026-02-04 00:00:00+05:30,95.2,98.83,94.71,98.08,20822852,0
2026-02-05 00:00:00+05:30,98.57,98.57,96.81,97.43,8004097,0
2026-02-06 00:00:00+05:30,97.0,97.72,95.91,97.51,10911384,0
2026-02-09 00:00:00+05:30,98.26,98.62,97.49,97.98,21209846,0
2026-02-10 00:00:00+05:30,98.15,98.57,96.92,97.81,7299407,0
2026-02-11 00:00:00+05:30,97.94,97.96,96.15,96.81,4881186,0
2026-02-12 00:00:00+05:30,96.81,97.33,95.8,96.33,5746310,0
2026-02-13 00:00:00+05:30,95.6,96.0,93.53,94.03,7836032,0
2026-02-16 00:00:00+05:30,95.15,101.4,95.15,100.52,50976360,0
2026-02-17 00:00:00+05:30,99.87,102.55,99.12,99.8,25514687,0
2026-02-18 00:00:00+05:30,99.8,101.64,99.12,100.36,12811121,0
2026-02-19 00:00:00+05:30,100.7,100.99,98.8,99.06,10000773,0
2026-02-20 00:00:00+05:30,99.01,100.39,98.68,99.75,6998470,0
2026-02-23 00:00:00+05:30,100.89,101.5,99.93,100.84,7231415,0
2026-02-24 00:00:00+05:30,100.5,102.5,99.65,101.7,7047232,0
2026-02-25 00:00:00+05:30,102.78,103.03,101.5,102.27,10916245,0
2026-02-26 00:00:00+05:30,101.81,103.0,101.51,102.26,4703063,0
2026-02-27 00:00:00+05:30,101.76,102.29,99.57,100.63,19213349,0
2026-03-02 00:00:00+05:30,96.1,99.08,95.05,96.49,11996476,0
2026-03-04 00:00:00+05:30,93.97,96.1,92.5,95.2,13937168,0
2026-03-05 00:00:00+05:30,95.5,98.79,95.5,97.98,22736777,0
2026-03-06 00:00:00+05:30,97.41,99.5,94.84,95.06,18335854,0
2026-03-09 00:00:00+05:30,93.19,93.31,90.64,92.07,13164377,0
2026-03-10 00:00:00+05:30,94.0,97.0,93.2,95.53,14065830,0
2026-03-11 00:00:00+05:30,95.53,97.15,93.56,93.79,4362786,0
2026-03-12 00:00:00+05:30,93.01,95.08,92.08,93.29,17490118,0
2026-03-13 00:00:00+05:30,93.0,93.01,88.85,89.26,10707023,0
2026-03-16 00:00:00+05:30,90.0,92.05,88.77,90.5,15405960,0
2026-03-17 00:00:00+05:30,90.9,91.1,89.66,90.3,6931780,0
2026-03-18 00:00:00+05:30,90.5,92.63,89.77,92.02,9315459,0
2026-03-19 00:00:00+05:30,90.75,91.1,87.33,88.45,12568247,0
2026-03-20 00:00:00+05:30,89.0,92.95,89.0,90.56,24147369,0
2026-03-23 00:00:00+05:30,90.15,90.15,84.49,84.77,10647285,0
2026-03-24 00:00:00+05:30,88.0,90.34,86.95,89.02,15094837,0
2026-03-25 00:00:00+05:30,89.5,91.53,89.31,90.06,20843793,0
2026-03-27 00:00:00+05:30,90.12,90.19,87.59,89.09,9727084,0
2026-03-30 00:00:00+05:30,87.0,87.99,84.11,84.75,64917485,0
2026-04-01 00:00:00+05:30,86.86,90.85,85.85,89.29,18020403,0
2026-04-02 00:00:00+05:30,88.36,89.17,85.71,88.87,8419680,0
2026-04-06 00:00:00+05:30,89.0,91.47,87.4,91.2,14013744,0
2026-04-07 00:00:00+05:30,90.7,91.34,89.05,90.93,12369685,0
2026-04-08 00:00:00+05:30,94.05,96.5,93.85,95.82,14529232,0
2026-04-09 00:00:00+05:30,95.81,95.82,93.92,94.53,11784121,0
2026-04-10 00:00:00+05:30,94.99,96.0,94.39,95.25,19062866,0
2026-04-13 00:00:00+05:30,92.15,95.34,91.6,94.92,15006282,0
2026-04-15 00:00:00+05:30,97.6,100.0,97.06,99.22,21552860,0
2026-04-16 00:00:00+05:30,99.3,99.73,96.4,96.75,11144653,0
2026-04-17 00:00:00+05:30,96.75,97.93,95.8,96.85,11386763,0
2026-04-20 00:00:00+05:30,97.31,98.75,95.81,97.45,10712271,0
2026-04-21 00:00:00+05:30,97.39,98.95,97.03,97.24,15749965,0
2026-04-22 00:00:00+05:30,97.0,98.06,96.94,97.39,11305254,0
2026-04-23 00:00:00+05:30,96.99,97.2,95.41,96.44,11238685,0
2026-04-24 00:00:00+05:30,95.84,96.56,93.99,94.49,11935153,0
2026-04-27 00:00:00+05:30,95.2,96.75,95.19,95.74,10479798,0
