date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,11.39,11.47,10.98,11.25,1037070616,0
2026-01-13 00:00:00+05:30,11.31,11.32,10.71,10.8,1050929391,0
2026-01-14 00:00:00+05:30,10.83,11.2,10.81,11.08,697551451,0
2026-01-16 00:00:00+05:30,11.1,11.11,10.77,10.82,554140658,0
2026-01-19 00:00:00+05:30,10.82,10.82,10.55,10.59,564069234,0
2026-01-20 00:00:00+05:30,10.6,10.72,10.08,10.13,737585409,0
2026-01-21 00:00:00+05:30,10.13,10.37,9.92,10.12,1162522049,0
2026-01-22 00:00:00+05:30,10.29,10.37,10.1,10.18,533354101,0
2026-01-23 00:00:00+05:30,10.29,10.29,9.87,9.93,523201791,0
2026-01-27 00:00:00+05:30,9.97,9.99,9.72,9.83,566192886,0
2026-01-28 00:00:00+05:30,9.93,10.08,9.76,9.95,645264237,0
2026-01-29 00:00:00+05:30,10.04,10.2,9.68,10.05,678944962,0
2026-01-30 00:00:00+05:30,9.96,11.38,9.86,11.17,1730514645,0
2026-02-01 00:00:00+05:30,11.23,11.23,10.3,10.87,725785604,0
2026-02-02 00:00:00+05:30,10.78,10.88,10.41,10.81,693107684,0
2026-02-03 00:00:00+05:30,11.02,11.55,10.81,11.41,1188718129,0
2026-02-04 00:00:00+05:30,11.35,11.55,11.3,11.35,499984642,0
2026-02-05 00:00:00+05:30,11.3,11.4,11.11,11.24,528588471,0
2026-02-06 00:00:00+05:30,11.2,11.27,10.9,11.12,579763691,0
2026-02-09 00:00:00+05:30,11.3,11.66,11.23,11.58,631894548,0
2026-02-10 00:00:00+05:30,11.58,11.67,11.45,11.48,392199772,0
2026-02-11 00:00:00+05:30,11.52,11.9,11.42,11.85,859183785,0
2026-02-12 00:00:00+05:30,11.7,11.74,11.32,11.55,497570108,0
2026-02-13 00:00:00+05:30,11.44,11.51,11.26,11.3,351653687,0
2026-02-16 00:00:00+05:30,11.25,11.5,11.21,11.43,299017626,0
2026-02-17 00:00:00+05:30,11.4,11.46,11.3,11.38,252469405,0
2026-02-18 00:00:00+05:30,11.41,11.66,11.4,11.56,358955663,0
2026-02-19 00:00:00+05:30,11.6,11.64,11.14,11.26,330114434,0
2026-02-20 00:00:00+05:30,11.25,11.4,11.09,11.16,314954760,0
2026-02-23 00:00:00+05:30,11.2,11.22,10.87,10.98,385896457,0
2026-02-24 00:00:00+05:30,10.98,11.05,10.79,10.91,385651453,0
2026-02-25 00:00:00+05:30,11.01,11.08,10.69,10.73,305829521,0
2026-02-26 00:00:00+05:30,10.75,11.16,10.74,10.85,428109099,0
2026-02-27 00:00:00+05:30,10.88,10.94,10.54,10.59,383228221,0
2026-03-02 00:00:00+05:30,10.25,10.53,10.1,10.29,498723631,0
2026-03-04 00:00:00+05:30,10.1,10.18,9.85,9.99,479791170,0
2026-03-05 00:00:00+05:30,10.03,10.34,9.88,10.22,591320459,0
2026-03-06 00:00:00+05:30,10.3,10.38,10.01,10.06,450840141,0
2026-03-09 00:00:00+05:30,9.89,9.97,9.57,9.91,414186823,0
2026-03-10 00:00:00+05:30,10.01,10.12,9.86,10.01,404894631,0
2026-03-11 00:00:00+05:30,10.01,10.12,9.61,9.71,399806526,0
2026-03-12 00:00:00+05:30,9.64,9.74,9.36,9.56,444257788,0
2026-03-13 00:00:00+05:30,9.52,9.59,9.18,9.27,570944045,0
2026-03-16 00:00:00+05:30,9.32,9.74,9.29,9.39,550904012,0
2026-03-17 00:00:00+05:30,9.46,9.5,9.21,9.25,435075957,0
2026-03-18 00:00:00+05:30,9.3,9.54,9.22,9.44,514240404,0
2026-03-19 00:00:00+05:30,9.27,9.3,8.85,8.94,636955924,0
2026-03-20 00:00:00+05:30,9.05,9.45,9.05,9.34,612165493,0
2026-03-23 00:00:00+05:30,9.22,9.22,8.65,8.7,664844250,0
2026-03-24 00:00:00+05:30,9.08,9.08,8.72,8.88,544357109,0
2026-03-25 00:00:00+05:30,9.0,9.17,8.97,9.04,437977196,0
2026-03-27 00:00:00+05:30,9.0,9.06,8.84,8.89,467368070,0
2026-03-30 00:00:00+05:30,8.77,8.85,8.5,8.53,490503989,0
2026-04-01 00:00:00+05:30,8.94,8.94,8.63,8.64,664715028,0
2026-04-02 00:00:00+05:30,8.63,8.64,8.13,8.58,833576637,0
2026-04-06 00:00:00+05:30,8.6,8.8,8.36,8.76,539938324,0
2026-04-07 00:00:00+05:30,8.67,8.74,8.52,8.63,482130182,0
2026-04-08 00:00:00+05:30,9.0,9.25,8.9,9.2,640895030,0
2026-04-09 00:00:00+05:30,9.15,9.22,9.0,9.12,405859803,0
2026-04-10 00:00:00+05:30,9.18,9.39,9.17,9.25,468683513,0
2026-04-13 00:00:00+05:30,9.0,9.33,8.94,9.25,454947155,0
2026-04-15 00:00:00+05:30,9.36,9.5,9.32,9.44,410002148,0
2026-04-16 00:00:00+05:30,9.54,9.66,9.42,9.53,457206154,0
2026-04-17 00:00:00+05:30,9.51,9.68,9.48,9.61,383484709,0
2026-04-20 00:00:00+05:30,9.64,9.71,9.38,9.47,389805796,0
2026-04-21 00:00:00+05:30,9.47,9.73,9.42,9.55,388623918,0
2026-04-22 00:00:00+05:30,9.52,9.61,9.46,9.54,354014633,0
2026-04-23 00:00:00+05:30,9.54,9.63,9.48,9.58,372680769,0
2026-04-24 00:00:00+05:30,9.58,9.63,9.37,9.52,374835087,0
2026-04-27 00:00:00+05:30,9.58,9.75,9.56,9.69,339973336,0
2026-04-28 00:00:00+05:30,9.7,10.15,9.67,9.95,744203178,0
2026-04-29 00:00:00+05:30,10.05,10.55,10.01,10.29,605375435,0
2026-04-30 00:00:00+05:30,10.29,10.3,10.01,10.22,403450744,0
2026-05-04 00:00:00+05:30,11.0,11.0,10.4,10.52,1177221785,0
2026-05-05 00:00:00+05:30,10.52,11.32,10.5,10.8,808377583,0
2026-05-06 00:00:00+05:30,11.1,11.42,10.91,11.3,879179908,0
2026-05-07 00:00:00+05:30,11.39,11.39,11.11,11.23,422871156,0
2026-05-08 00:00:00+05:30,11.17,11.44,11.01,11.24,552801225,0
