date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,85.6,86.19,83.61,84.77,29814342,0
2026-01-13 00:00:00+05:30,85.4,85.4,82.27,82.96,24378849,0
2026-01-14 00:00:00+05:30,82.96,83.41,82.3,83.07,13353054,0
2026-01-16 00:00:00+05:30,83.06,84.15,82.98,83.79,16347138,0
2026-01-19 00:00:00+05:30,83.5,84.23,82.41,83.12,13485105,0
2026-01-20 00:00:00+05:30,83.12,83.48,81.74,82.09,18694090,0
2026-01-21 00:00:00+05:30,81.71,82.42,79.62,81.51,29658105,0
2026-01-22 00:00:00+05:30,82.0,84.48,81.9,84.2,39287653,0
2026-01-23 00:00:00+05:30,84.34,85.13,82.33,82.99,30120355,0
2026-01-27 00:00:00+05:30,82.99,83.97,81.6,83.5,31871803,0
2026-01-28 00:00:00+05:30,83.94,83.94,81.73,82.93,20226999,0
2026-01-29 00:00:00+05:30,82.97,83.75,82.45,83.47,33904223,0
2026-01-30 00:00:00+05:30,82.52,84.5,82.52,83.58,42058731,0
2026-02-01 00:00:00+05:30,84.5,84.5,81.16,82.03,26916246,0
2026-02-02 00:00:00+05:30,82.08,82.4,79.38,81.21,35455846,0
2026-02-03 00:00:00+05:30,84.61,85.98,83.4,84.85,34975303,0
2026-02-04 00:00:00+05:30,84.8,85.29,84.04,85.14,23063205,0
2026-02-05 00:00:00+05:30,85.0,85.8,84.67,85.48,27129853,0
2026-02-06 00:00:00+05:30,85.3,85.8,84.15,85.11,17886315,0
2026-02-09 00:00:00+05:30,85.16,85.51,84.44,84.76,17020935,0
2026-02-10 00:00:00+05:30,84.84,84.98,83.53,83.77,16522740,0
2026-02-11 00:00:00+05:30,83.9,84.09,82.12,82.56,21018851,0
2026-02-12 00:00:00+05:30,82.95,83.05,81.25,82.15,12367406,0
2026-02-13 00:00:00+05:30,81.78,82.35,80.01,81.54,14207864,0
2026-02-16 00:00:00+05:30,81.01,83.11,80.93,82.91,11738223,0
2026-02-17 00:00:00+05:30,82.29,83.5,82.0,83.35,19451127,0
2026-02-18 00:00:00+05:30,83.35,85.55,82.65,84.61,27410289,0
2026-02-19 00:00:00+05:30,84.94,86.19,82.25,82.98,29470408,0
2026-02-20 00:00:00+05:30,82.6,83.8,82.3,83.51,11974786,0
2026-02-23 00:00:00+05:30,75.16,75.16,66.8,70.04,621433698,0
2026-02-24 00:00:00+05:30,69.89,72.24,68.5,70.97,321537145,0
2026-02-25 00:00:00+05:30,71.55,71.68,69.82,70.22,90865348,0
2026-02-26 00:00:00+05:30,70.22,73.16,69.85,72.81,142273285,0
2026-02-27 00:00:00+05:30,72.91,73.8,71.91,73.48,73495422,0
2026-03-02 00:00:00+05:30,70.5,73.25,70.31,71.78,60516758,0
2026-03-04 00:00:00+05:30,70.23,71.2,69.65,70.06,40216153,0
2026-03-05 00:00:00+05:30,70.59,71.17,69.93,70.4,33311916,0
2026-03-06 00:00:00+05:30,70.4,71.27,69.77,69.98,23163809,0
2026-03-09 00:00:00+05:30,68.5,68.5,66.0,66.76,55090634,0
2026-03-10 00:00:00+05:30,66.4,67.6,65.52,67.27,66454955,0
2026-03-11 00:00:00+05:30,67.46,67.87,65.8,66.16,29543962,0
2026-03-12 00:00:00+05:30,65.0,65.68,64.12,64.78,34060333,0
2026-03-13 00:00:00+05:30,64.3,64.6,61.99,62.57,44917770,0
2026-03-16 00:00:00+05:30,62.49,63.2,61.3,62.81,43729894,0
2026-03-17 00:00:00+05:30,63.1,63.84,62.39,63.66,21678024,0
2026-03-18 00:00:00+05:30,63.86,65.39,63.66,65.26,25946235,0
2026-03-19 00:00:00+05:30,64.0,64.23,62.23,62.61,31046018,0
2026-03-20 00:00:00+05:30,62.92,63.88,62.74,62.95,28941537,0
2026-03-23 00:00:00+05:30,62.47,62.47,59.94,60.24,40208242,0
2026-03-24 00:00:00+05:30,61.63,62.45,60.95,62.09,24090882,0
2026-03-25 00:00:00+05:30,62.5,63.55,62.5,63.24,26510428,0
2026-03-27 00:00:00+05:30,62.99,63.04,61.44,61.87,57163040,0
2026-03-30 00:00:00+05:30,60.92,61.2,58.67,58.85,57394663,0
2026-04-01 00:00:00+05:30,60.84,61.2,59.9,60.18,32422944,0
2026-04-02 00:00:00+05:30,59.56,60.55,58.08,60.22,25908484,0
2026-04-06 00:00:00+05:30,60.51,61.29,59.17,61.08,41063566,0
2026-04-07 00:00:00+05:30,61.0,61.5,60.21,61.19,21417493,0
2026-04-08 00:00:00+05:30,63.99,66.21,63.0,65.87,42736119,0
