date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,139.69,144.5,138.4,142.02,60452419,0
2026-01-13 00:00:00+05:30,142.99,143.14,139.62,141.31,14795538,0
2026-01-14 00:00:00+05:30,141.73,142.6,138.76,139.37,9549194,0
2026-01-16 00:00:00+05:30,140.0,140.95,138.24,139.29,10228954,0
2026-01-19 00:00:00+05:30,139.0,141.9,133.41,137.0,30192612,0
2026-01-20 00:00:00+05:30,136.5,136.99,129.73,130.29,18921695,0
2026-01-21 00:00:00+05:30,130.3,132.44,128.0,128.42,15213155,0
2026-01-22 00:00:00+05:30,130.0,132.99,128.84,131.06,8399163,0
2026-01-23 00:00:00+05:30,131.4,132.45,127.06,127.53,9239745,0
2026-01-27 00:00:00+05:30,128.16,128.6,125.28,127.55,14328607,0
2026-01-28 00:00:00+05:30,127.55,128.89,126.57,128.71,6873060,0
2026-01-29 00:00:00+05:30,129.0,129.47,125.94,127.58,11054197,0
2026-01-30 00:00:00+05:30,127.42,127.8,125.8,126.79,6667712,0
2026-02-01 00:00:00+05:30,127.0,128.36,122.06,124.87,6836901,0
2026-02-02 00:00:00+05:30,125.0,125.59,119.0,122.62,14961487,0
2026-02-03 00:00:00+05:30,126.51,128.17,124.26,126.26,7786225,0
2026-02-04 00:00:00+05:30,126.0,128.09,124.89,127.69,6394701,0
2026-02-05 00:00:00+05:30,127.7,127.75,124.45,124.85,5486599,0
2026-02-06 00:00:00+05:30,124.85,125.0,119.85,120.94,11969646,0
2026-02-09 00:00:00+05:30,121.5,126.21,120.43,125.34,11646073,0
2026-02-10 00:00:00+05:30,125.99,127.65,125.04,126.14,9592050,0
2026-02-11 00:00:00+05:30,126.93,127.65,125.03,127.16,6289575,0
2026-02-12 00:00:00+05:30,127.16,127.16,125.6,125.91,4363115,0
2026-02-13 00:00:00+05:30,125.01,125.29,119.38,123.95,19551693,0
2026-02-16 00:00:00+05:30,123.5,125.16,122.28,124.97,5033142,0
2026-02-17 00:00:00+05:30,124.7,126.45,124.26,126.25,4016445,0
2026-02-18 00:00:00+05:30,126.22,127.08,125.0,126.13,4736952,0
2026-02-19 00:00:00+05:30,126.01,126.49,123.36,123.87,2945718,0
2026-02-20 00:00:00+05:30,123.87,125.89,123.22,125.42,3070434,0
2026-02-23 00:00:00+05:30,125.75,126.52,124.7,125.72,4319720,0
2026-02-24 00:00:00+05:30,125.5,126.5,124.5,125.63,6405727,0
2026-02-25 00:00:00+05:30,125.63,129.0,125.63,127.72,5525290,0
2026-02-26 00:00:00+05:30,128.7,130.7,126.81,127.51,5828741,0
2026-02-27 00:00:00+05:30,127.5,128.2,125.07,125.64,5072021,0
2026-03-02 00:00:00+05:30,122.14,124.27,120.52,121.52,6617593,0
2026-03-04 00:00:00+05:30,120.27,120.91,117.84,118.59,5236510,0
2026-03-05 00:00:00+05:30,120.4,121.95,119.1,121.63,5657344,0
2026-03-06 00:00:00+05:30,121.01,123.5,121.01,121.76,4351385,0
2026-03-09 00:00:00+05:30,119.01,120.75,117.5,120.26,7843517,0
2026-03-10 00:00:00+05:30,121.41,122.13,119.6,121.13,7651092,0
2026-03-11 00:00:00+05:30,122.0,126.19,122.0,122.85,8946792,0
2026-03-12 00:00:00+05:30,122.5,124.48,119.87,122.76,5791203,0
2026-03-13 00:00:00+05:30,122.5,124.19,119.98,120.25,5204393,0
2026-03-16 00:00:00+05:30,120.28,120.89,117.19,118.8,6559285,0
2026-03-17 00:00:00+05:30,119.35,120.8,118.76,119.88,4736128,0
2026-03-18 00:00:00+05:30,120.23,124.1,120.02,123.06,4931026,0
2026-03-19 00:00:00+05:30,120.5,121.79,117.69,118.25,4867877,0
2026-03-20 00:00:00+05:30,119.7,121.8,119.01,120.53,5086862,0
2026-03-23 00:00:00+05:30,118.71,119.42,114.72,115.38,7773470,0
2026-03-24 00:00:00+05:30,117.8,120.0,115.5,119.62,5996523,0
2026-03-25 00:00:00+05:30,120.5,124.0,120.12,121.68,7993787,0
2026-03-27 00:00:00+05:30,121.0,122.76,118.31,118.84,11710831,0
2026-03-30 00:00:00+05:30,117.9,118.56,114.6,114.75,10966801,0
2026-04-01 00:00:00+05:30,117.0,121.0,117.0,119.95,4171559,0
2026-04-02 00:00:00+05:30,118.45,119.91,116.0,119.42,3916113,0
2026-04-06 00:00:00+05:30,120.6,126.48,118.51,126.16,10112144,0
2026-04-07 00:00:00+05:30,125.95,127.7,125.15,126.97,7149911,0
2026-04-08 00:00:00+05:30,129.1,130.65,128.01,129.44,5615281,0
2026-04-09 00:00:00+05:30,129.0,130.0,126.84,129.69,4860944,0
2026-04-10 00:00:00+05:30,130.0,131.4,129.0,129.99,3717367,0
2026-04-13 00:00:00+05:30,127.5,131.22,126.52,129.14,5914574,0
2026-04-15 00:00:00+05:30,131.0,133.15,130.45,132.81,5378307,0
2026-04-16 00:00:00+05:30,134.38,135.0,132.3,134.41,6084951,0
2026-04-17 00:00:00+05:30,134.76,136.8,134.41,135.81,5236151,0
2026-04-20 00:00:00+05:30,132.89,132.89,124.2,124.99,37712304,0
2026-04-21 00:00:00+05:30,124.2,127.24,124.2,126.06,8595940,0
2026-04-22 00:00:00+05:30,126.47,126.85,125.36,125.78,5313933,0
2026-04-23 00:00:00+05:30,125.8,128.05,125.05,126.92,12806668,0
2026-04-24 00:00:00+05:30,128.4,129.7,122.34,123.23,18209699,0
2026-04-27 00:00:00+05:30,123.19,127.3,122.38,126.45,13224493,0
2026-04-28 00:00:00+05:30,126.41,127.64,125.0,125.94,11429852,0
2026-04-29 00:00:00+05:30,126.6,127.48,125.65,126.05,6578749,0
2026-04-30 00:00:00+05:30,125.7,125.92,123.8,125.19,5162770,0
2026-05-04 00:00:00+05:30,125.5,127.38,125.34,126.97,6353864,0
2026-05-05 00:00:00+05:30,126.55,128.78,125.79,127.62,5955524,0
2026-05-06 00:00:00+05:30,129.07,129.98,128.34,129.8,6374150,0
2026-05-07 00:00:00+05:30,130.0,134.15,129.51,133.81,8110310,0
2026-05-08 00:00:00+05:30,134.15,134.82,132.6,134.12,5502299,0
