date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,880.2,907.95,879.1,905.45,4015935,0
2026-01-13 00:00:00+05:30,909.0,913.7,897.5,910.55,3958844,0
2026-01-14 00:00:00+05:30,913.0,948.9,905.0,944.5,11559313,0
2026-01-16 00:00:00+05:30,945.0,960.2,938.05,953.85,10345071,0
2026-01-19 00:00:00+05:30,947.95,961.9,941.45,949.8,5455304,0
2026-01-20 00:00:00+05:30,946.0,948.0,899.05,905.15,6701234,0
2026-01-21 00:00:00+05:30,908.0,919.15,891.45,907.15,3567143,0
2026-01-22 00:00:00+05:30,911.0,916.2,892.9,902.45,2338485,0
2026-01-23 00:00:00+05:30,900.05,914.6,888.25,892.45,5907525,0
2026-01-27 00:00:00+05:30,875.0,897.0,851.15,894.75,8419598,0
2026-01-28 00:00:00+05:30,898.75,903.0,877.65,901.7,2982683,0
2026-01-29 00:00:00+05:30,899.9,904.5,890.7,898.4,4382116,0
2026-01-30 00:00:00+05:30,892.1,902.75,888.2,896.1,2867342,0
2026-02-01 00:00:00+05:30,894.1,906.0,863.3,895.6,2530553,0
2026-02-02 00:00:00+05:30,889.0,914.5,884.35,910.25,3762702,0
2026-02-03 00:00:00+05:30,951.3,959.6,916.35,922.4,9608114,0
2026-02-04 00:00:00+05:30,922.0,932.0,915.8,921.3,2883259,0
2026-02-05 00:00:00+05:30,918.1,922.15,902.3,914.4,2552518,0
2026-02-06 00:00:00+05:30,909.1,917.05,895.0,903.6,2711855,0
2026-02-09 00:00:00+05:30,910.0,936.95,900.35,927.9,6863941,0
2026-02-10 00:00:00+05:30,927.9,933.0,920.0,927.6,2768617,0
2026-02-11 00:00:00+05:30,927.9,928.3,915.0,925.0,2473671,0
2026-02-12 00:00:00+05:30,928.7,937.0,915.0,922.7,3082642,0
2026-02-13 00:00:00+05:30,922.0,929.95,903.35,926.05,2860622,0
2026-02-16 00:00:00+05:30,930.0,933.7,912.15,931.9,2098887,0
2026-02-17 00:00:00+05:30,931.9,952.2,928.2,943.8,6284594,0
2026-02-18 00:00:00+05:30,944.0,950.0,932.8,944.65,3474257,0
2026-02-19 00:00:00+05:30,944.5,944.5,923.2,927.35,2641817,0
2026-02-20 00:00:00+05:30,934.0,947.9,922.65,926.05,6462199,0
2026-02-23 00:00:00+05:30,926.05,934.65,911.95,919.75,4217172,0
2026-02-24 00:00:00+05:30,919.75,934.4,912.0,931.4,3079572,0
2026-02-25 00:00:00+05:30,934.0,941.85,932.1,937.35,1173030,0
2026-02-26 00:00:00+05:30,938.0,968.85,936.3,964.6,8974624,0
2026-02-27 00:00:00+05:30,963.0,968.0,951.2,956.75,3745120,0
2026-03-02 00:00:00+05:30,939.0,955.95,933.2,942.5,1568186,0
2026-03-04 00:00:00+05:30,930.0,942.95,916.7,927.55,2527046,0
2026-03-05 00:00:00+05:30,930.05,947.55,926.95,937.2,1949212,0
2026-03-06 00:00:00+05:30,935.0,942.9,912.05,917.85,1153433,0
2026-03-09 00:00:00+05:30,899.0,900.0,870.55,881.2,3362985,0
2026-03-10 00:00:00+05:30,892.0,904.05,885.0,898.7,4547967,0
2026-03-11 00:00:00+05:30,897.2,907.5,873.15,877.15,2754525,0
2026-03-12 00:00:00+05:30,870.0,870.5,828.0,831.35,7514347,0
2026-03-13 00:00:00+05:30,827.0,833.15,804.8,814.4,5606889,0
2026-03-16 00:00:00+05:30,814.55,830.0,806.2,825.05,3107008,0
2026-03-17 00:00:00+05:30,825.0,825.0,808.0,820.85,3713235,0
2026-03-18 00:00:00+05:30,819.6,847.9,815.6,842.15,4695600,0
2026-03-19 00:00:00+05:30,828.2,831.25,812.95,816.3,5080824,0
2026-03-20 00:00:00+05:30,822.0,837.0,813.1,818.6,7872290,0
2026-03-23 00:00:00+05:30,806.3,809.0,771.9,778.35,7448050,0
2026-03-24 00:00:00+05:30,789.85,802.15,771.7,797.25,6347812,0
2026-03-25 00:00:00+05:30,802.95,834.3,802.95,818.4,3095936,0
2026-03-27 00:00:00+05:30,809.0,816.2,785.3,792.55,6211886,0
2026-03-30 00:00:00+05:30,781.0,784.0,750.5,752.45,7093604,0
2026-04-01 00:00:00+05:30,765.95,793.65,765.95,785.65,4336917,0
2026-04-02 00:00:00+05:30,772.2,784.75,754.0,778.7,2481604,0
2026-04-06 00:00:00+05:30,774.6,788.3,756.4,786.2,2512596,0
2026-04-07 00:00:00+05:30,778.0,787.8,770.3,784.8,1165539,0
2026-04-08 00:00:00+05:30,812.0,840.85,810.0,835.95,3572416,0
2026-04-09 00:00:00+05:30,831.85,834.9,812.0,814.55,2531440,0
2026-04-10 00:00:00+05:30,818.5,835.45,817.8,830.9,1509168,0
2026-04-13 00:00:00+05:30,807.1,822.2,800.7,818.9,1555260,0
2026-04-15 00:00:00+05:30,832.0,850.0,828.15,840.1,3272348,0
2026-04-16 00:00:00+05:30,845.5,857.25,840.9,847.9,3785293,0
2026-04-17 00:00:00+05:30,849.0,857.45,838.55,853.9,1850548,0
2026-04-20 00:00:00+05:30,853.9,856.0,839.5,851.95,2453075,0
2026-04-21 00:00:00+05:30,857.7,865.85,854.85,856.4,975223,0
2026-04-22 00:00:00+05:30,851.0,873.0,851.0,870.1,2253573,0
2026-04-23 00:00:00+05:30,861.7,869.7,854.15,860.35,1561128,0
2026-04-24 00:00:00+05:30,868.0,868.0,839.0,847.95,1453183,0
2026-04-27 00:00:00+05:30,865.2,903.5,865.2,900.15,11254307,0
2026-04-28 00:00:00+05:30,890.15,895.7,882.45,885.55,5748485,0
2026-04-29 00:00:00+05:30,891.0,925.0,891.0,913.75,3485256,0
2026-04-30 00:00:00+05:30,906.0,920.0,895.25,916.05,3438569,0
2026-05-04 00:00:00+05:30,925.25,942.4,911.1,913.9,1973688,0
2026-05-05 00:00:00+05:30,911.1,918.1,903.0,910.7,2006111,0
2026-05-06 00:00:00+05:30,920.4,949.75,917.95,946.75,2901974,0
2026-05-07 00:00:00+05:30,948.25,951.65,934.1,946.95,2007411,0
2026-05-08 00:00:00+05:30,946.0,957.9,940.5,950.75,1604266,0
