date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,505.5,506.85,490.95,501.4,2717796,0
2026-01-13 00:00:00+05:30,504.95,505.55,490.25,495.45,2450514,0
2026-01-14 00:00:00+05:30,493.3,493.35,475.5,480.4,6837010,0
2026-01-16 00:00:00+05:30,480.9,480.9,463.0,467.5,6281291,0
2026-01-19 00:00:00+05:30,468.0,471.85,446.5,458.85,7650562,0
2026-01-20 00:00:00+05:30,462.0,465.4,449.2,451.45,5444055,0
2026-01-21 00:00:00+05:30,452.0,452.0,389.1,396.55,37639138,0
2026-01-22 00:00:00+05:30,398.45,403.85,369.85,373.55,18017001,0
2026-01-23 00:00:00+05:30,378.25,381.8,365.25,367.2,12299275,0
2026-01-27 00:00:00+05:30,372.8,372.8,347.5,368.9,12098840,0
2026-01-28 00:00:00+05:30,371.3,376.75,363.4,367.95,5245185,0
2026-01-29 00:00:00+05:30,367.45,370.0,357.15,368.4,7529146,0
2026-01-30 00:00:00+05:30,365.25,367.8,359.6,361.65,4146294,0
2026-02-01 00:00:00+05:30,365.45,385.3,351.5,368.9,7677751,0
2026-02-02 00:00:00+05:30,368.95,369.85,355.85,365.5,4349733,0
2026-02-03 00:00:00+05:30,388.0,394.05,379.15,383.95,6481717,0
2026-02-04 00:00:00+05:30,383.95,391.4,380.45,387.2,3861744,0
2026-02-05 00:00:00+05:30,387.95,387.95,371.5,376.15,4060005,0
2026-02-06 00:00:00+05:30,377.6,382.0,364.7,380.25,5108188,0
2026-02-09 00:00:00+05:30,405.0,442.95,395.2,437.35,73673179,0
2026-02-10 00:00:00+05:30,441.0,445.0,429.4,433.9,27651390,0
2026-02-11 00:00:00+05:30,433.9,435.35,423.0,426.95,8218913,0
2026-02-12 00:00:00+05:30,430.65,433.85,423.15,432.5,6967117,0
2026-02-13 00:00:00+05:30,429.9,429.9,415.1,418.05,6604401,0
2026-02-16 00:00:00+05:30,418.05,431.75,415.0,427.05,4983795,0
2026-02-17 00:00:00+05:30,425.85,428.25,419.05,420.85,3627830,0
2026-02-18 00:00:00+05:30,421.0,422.85,410.6,418.4,4686354,0
2026-02-19 00:00:00+05:30,420.0,420.65,402.4,404.75,4337971,0
2026-02-20 00:00:00+05:30,406.0,407.2,400.0,401.2,4504412,0
2026-02-23 00:00:00+05:30,405.0,405.9,398.95,402.15,3419994,0
2026-02-24 00:00:00+05:30,400.35,409.7,399.05,406.9,3592400,0
2026-02-25 00:00:00+05:30,409.0,410.3,402.4,405.7,2124454,0
2026-02-26 00:00:00+05:30,405.7,411.0,402.7,407.1,1975252,0
2026-02-27 00:00:00+05:30,405.05,417.5,405.05,410.1,5995568,0
2026-03-02 00:00:00+05:30,394.95,407.95,390.05,401.75,4803685,0
2026-03-04 00:00:00+05:30,394.85,396.3,387.4,393.8,3256574,0
2026-03-05 00:00:00+05:30,397.0,402.7,389.5,399.8,2655249,0
2026-03-06 00:00:00+05:30,395.95,401.1,394.25,395.55,2237896,0
2026-03-09 00:00:00+05:30,386.2,391.9,382.05,389.0,1994640,0
2026-03-10 00:00:00+05:30,392.5,397.8,387.2,392.85,2143619,0
2026-03-11 00:00:00+05:30,396.0,404.8,388.6,390.5,3034206,0
2026-03-12 00:00:00+05:30,388.5,393.65,378.6,389.95,3218077,0
2026-03-13 00:00:00+05:30,388.95,389.45,377.0,379.0,2576181,0
2026-03-16 00:00:00+05:30,379.0,386.7,373.75,381.6,2535411,0
2026-03-17 00:00:00+05:30,381.5,384.5,375.6,383.7,2113685,0
2026-03-18 00:00:00+05:30,385.0,391.1,382.7,389.6,2318622,0
2026-03-19 00:00:00+05:30,384.2,384.2,370.9,373.6,2846590,0
2026-03-20 00:00:00+05:30,376.2,389.6,376.1,382.7,3043574,0
2026-03-23 00:00:00+05:30,378.7,378.7,361.1,362.7,3830721,0
2026-03-24 00:00:00+05:30,375.0,375.2,364.0,371.7,2901895,0
2026-03-25 00:00:00+05:30,375.4,397.25,374.5,391.85,7261892,0
2026-03-27 00:00:00+05:30,387.95,396.0,383.1,388.35,4605634,0
2026-03-30 00:00:00+05:30,385.25,388.05,373.4,375.9,4281892,0
2026-04-01 00:00:00+05:30,385.6,392.4,382.95,387.1,3247928,0
2026-04-02 00:00:00+05:30,382.0,395.95,374.6,394.35,2915489,0
2026-04-06 00:00:00+05:30,395.0,421.95,395.0,420.35,12249798,0
2026-04-07 00:00:00+05:30,435.0,437.4,411.9,414.35,11433396,0
2026-04-08 00:00:00+05:30,433.05,446.65,421.15,445.55,10391357,0
