date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,299.7,301.15,292.4,296.15,6677927,0
2026-01-13 00:00:00+05:30,298.4,302.25,285.35,288.65,8485545,0
2026-01-14 00:00:00+05:30,286.1,296.45,283.7,295.8,10569647,0
2026-01-16 00:00:00+05:30,298.0,299.55,292.75,296.4,6787271,0
2026-01-19 00:00:00+05:30,284.5,301.8,282.3,300.05,21465689,0
2026-01-20 00:00:00+05:30,300.0,309.4,292.5,293.8,10309616,0
2026-01-21 00:00:00+05:30,293.25,296.6,276.75,281.35,13697608,0
2026-01-22 00:00:00+05:30,288.0,290.05,283.8,287.3,8091520,0
2026-01-23 00:00:00+05:30,289.0,295.3,285.3,288.0,6502459,0
2026-01-27 00:00:00+05:30,288.0,290.4,280.35,285.25,5836546,0
2026-01-28 00:00:00+05:30,288.0,292.0,285.95,289.4,2299975,0
2026-01-29 00:00:00+05:30,291.6,293.95,286.0,289.15,3987000,0
2026-01-30 00:00:00+05:30,288.85,293.35,283.75,286.35,4445140,0
2026-02-01 00:00:00+05:30,286.45,288.0,274.1,279.1,2602438,0
2026-02-02 00:00:00+05:30,279.0,279.15,269.0,277.55,9193919,0
2026-02-03 00:00:00+05:30,290.6,298.75,283.3,284.7,5355155,0
2026-02-04 00:00:00+05:30,285.45,290.65,282.1,287.1,3593559,0
2026-02-05 00:00:00+05:30,286.0,286.8,278.5,283.4,3934618,0
2026-02-06 00:00:00+05:30,282.0,286.1,275.55,285.3,3821007,0
2026-02-09 00:00:00+05:30,289.4,297.3,287.5,296.85,4735377,0
2026-02-10 00:00:00+05:30,297.55,298.5,291.25,294.0,3691851,0
2026-02-11 00:00:00+05:30,297.0,299.9,286.4,288.3,6843457,0
2026-02-12 00:00:00+05:30,288.2,292.5,285.15,292.05,3739412,0
2026-02-13 00:00:00+05:30,291.0,291.2,283.7,285.1,4322331,0
2026-02-16 00:00:00+05:30,284.0,295.45,281.2,294.0,6790971,0
2026-02-17 00:00:00+05:30,295.35,299.4,290.85,297.65,5138868,0
2026-02-18 00:00:00+05:30,297.65,303.05,296.8,300.25,4525435,0
2026-02-19 00:00:00+05:30,300.3,301.6,293.25,294.9,3811926,0
2026-02-20 00:00:00+05:30,294.5,299.0,292.8,297.75,3472541,0
2026-02-23 00:00:00+05:30,299.0,303.0,298.0,299.65,3420472,0
2026-02-24 00:00:00+05:30,299.65,299.65,295.05,297.45,3623378,0
2026-02-25 00:00:00+05:30,301.0,310.5,298.9,303.35,9098084,0
2026-02-26 00:00:00+05:30,304.65,304.65,296.4,299.9,3806988,0
2026-02-27 00:00:00+05:30,297.5,297.5,278.0,283.95,99977962,0
2026-03-02 00:00:00+05:30,273.65,282.0,272.1,275.8,8061770,0
2026-03-04 00:00:00+05:30,270.6,273.7,265.55,271.05,8234278,0
2026-03-05 00:00:00+05:30,272.0,276.9,270.0,275.5,3609412,0
2026-03-06 00:00:00+05:30,274.9,276.95,271.25,271.9,2656845,0
2026-03-09 00:00:00+05:30,265.6,266.9,259.8,266.2,4006690,0
2026-03-10 00:00:00+05:30,270.0,275.95,269.1,274.05,3026037,0
2026-03-11 00:00:00+05:30,273.0,275.85,265.6,266.65,2386052,0
2026-03-12 00:00:00+05:30,265.15,269.35,260.75,265.5,3821356,0
2026-03-13 00:00:00+05:30,264.0,264.55,256.3,258.0,3511148,0
2026-03-16 00:00:00+05:30,257.0,262.5,255.15,260.65,3213126,0
2026-03-17 00:00:00+05:30,262.85,263.7,256.4,263.15,5303707,0
2026-03-18 00:00:00+05:30,265.0,272.7,264.1,268.8,6289105,0
2026-03-19 00:00:00+05:30,265.0,266.9,255.15,256.65,5586363,0
2026-03-20 00:00:00+05:30,260.1,264.55,258.5,261.2,6384030,0
2026-03-23 00:00:00+05:30,260.2,260.25,245.6,247.65,8126742,0
2026-03-24 00:00:00+05:30,254.0,255.75,248.9,254.8,6736385,0
2026-03-25 00:00:00+05:30,257.6,266.5,257.35,261.3,5174550,0
2026-03-27 00:00:00+05:30,260.5,260.5,249.6,251.65,7078996,0
2026-03-30 00:00:00+05:30,247.0,247.5,238.95,240.2,9535511,0
2026-04-01 00:00:00+05:30,248.86,250.78,242.89,244.64,5176161,0
2026-04-02 00:00:00+05:30,240.1,242.64,234.9,240.35,5044052,0
2026-04-06 00:00:00+05:30,243.9,257.48,242.1,255.45,11678955,0
2026-04-07 00:00:00+05:30,252.5,257.31,250.7,254.56,5784978,0
2026-04-08 00:00:00+05:30,268.0,278.89,268.0,275.46,8622875,0
2026-04-09 00:00:00+05:30,275.95,277.67,271.0,272.18,4688665,0
2026-04-10 00:00:00+05:30,274.9,279.8,273.8,278.43,5871745,0
2026-04-13 00:00:00+05:30,272.94,276.55,266.21,274.04,4802310,0
2026-04-15 00:00:00+05:30,278.3,283.99,278.3,281.01,5323702,0
2026-04-16 00:00:00+05:30,285.0,286.99,277.47,280.41,5424731,0
2026-04-17 00:00:00+05:30,280.4,287.9,277.73,287.14,3415046,0
2026-04-20 00:00:00+05:30,287.14,293.97,283.71,290.15,4638480,0
2026-04-21 00:00:00+05:30,292.64,294.14,287.66,291.9,5395677,0
2026-04-22 00:00:00+05:30,293.0,295.29,291.3,294.04,3357979,0
2026-04-23 00:00:00+05:30,291.99,295.19,287.14,292.12,3503151,0
2026-04-24 00:00:00+05:30,293.9,295.01,287.22,290.05,3567361,0
2026-04-27 00:00:00+05:30,291.7,300.83,286.81,287.79,15681505,0
2026-04-28 00:00:00+05:30,288.0,292.58,284.71,285.78,5658687,0
2026-04-29 00:00:00+05:30,286.0,290.45,284.38,285.42,3376266,0
2026-04-30 00:00:00+05:30,284.42,284.42,277.38,279.73,3778162,0
2026-05-04 00:00:00+05:30,280.0,287.8,280.0,285.65,4980539,0
2026-05-05 00:00:00+05:30,286.6,291.4,283.1,290.45,4655749,0
2026-05-06 00:00:00+05:30,295.0,303.0,294.45,300.3,8849214,0
2026-05-07 00:00:00+05:30,301.8,305.2,297.85,303.65,3760248,0
2026-05-08 00:00:00+05:30,303.0,305.2,300.7,303.4,2525155,0
