date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,753.45,757.6,748.85,756.2,1042221,0
2026-01-13 00:00:00+05:30,756.9,760.5,751.7,756.05,1397021,0
2026-01-14 00:00:00+05:30,753.15,758.4,747.1,749.8,720895,0
2026-01-16 00:00:00+05:30,758.15,764.3,749.8,760.15,2731620,0
2026-01-19 00:00:00+05:30,760.0,765.05,752.65,760.6,1167269,0
2026-01-20 00:00:00+05:30,762.0,762.9,746.75,749.55,1100332,0
2026-01-21 00:00:00+05:30,748.05,752.7,740.6,747.95,1338880,0
2026-01-22 00:00:00+05:30,750.0,757.45,747.0,751.75,2527936,0
2026-01-23 00:00:00+05:30,751.75,754.0,738.85,740.95,1755248,0
2026-01-27 00:00:00+05:30,752.7,752.7,741.05,745.8,2681953,0
2026-01-28 00:00:00+05:30,754.0,756.0,721.35,736.65,5105125,0
2026-01-29 00:00:00+05:30,734.0,735.85,725.1,729.95,1159830,0
2026-01-30 00:00:00+05:30,725.0,735.0,719.05,729.8,4195864,0
2026-02-01 00:00:00+05:30,733.3,734.5,716.8,720.65,574440,0
2026-02-02 00:00:00+05:30,725.0,726.35,708.3,722.4,3074659,0
2026-02-03 00:00:00+05:30,735.0,742.65,722.85,732.85,2982558,0
2026-02-04 00:00:00+05:30,731.85,741.35,724.65,733.4,1287885,0
2026-02-05 00:00:00+05:30,738.0,749.65,731.5,748.3,2400386,0
2026-02-06 00:00:00+05:30,752.2,753.35,740.6,752.75,1737323,0
2026-02-09 00:00:00+05:30,758.0,758.0,751.1,754.85,1609570,0
2026-02-10 00:00:00+05:30,755.7,766.2,749.4,764.85,1514663,0
2026-02-11 00:00:00+05:30,765.6,772.25,762.7,770.4,1100783,0
2026-02-12 00:00:00+05:30,770.4,773.15,768.1,770.65,1374355,0
2026-02-13 00:00:00+05:30,769.0,771.85,757.85,760.15,966405,0
2026-02-16 00:00:00+05:30,762.55,774.0,757.0,772.85,731192,0
2026-02-17 00:00:00+05:30,773.7,776.75,770.85,774.6,684887,0
2026-02-18 00:00:00+05:30,774.6,798.0,773.6,795.95,2437994,0
2026-02-19 00:00:00+05:30,795.95,800.0,776.1,780.15,1689988,0
2026-02-20 00:00:00+05:30,779.4,793.6,775.15,788.2,974730,0
2026-02-23 00:00:00+05:30,795.0,804.95,787.2,801.45,1445444,0
2026-02-24 00:00:00+05:30,802.55,813.5,801.0,810.35,1949882,0
2026-02-25 00:00:00+05:30,810.35,811.6,801.75,806.35,1360182,0
2026-02-26 00:00:00+05:30,808.0,809.85,798.8,805.75,829778,0
2026-02-27 00:00:00+05:30,805.75,807.9,786.75,788.65,2505181,0
2026-03-02 00:00:00+05:30,770.1,789.2,769.8,779.15,752861,0
2026-03-04 00:00:00+05:30,782.1,785.95,768.9,771.85,1179796,0
2026-03-05 00:00:00+05:30,772.2,782.95,769.8,778.85,1014521,0
2026-03-06 00:00:00+05:30,779.8,790.6,776.5,785.25,2431135,0
2026-03-09 00:00:00+05:30,783.05,783.9,770.8,778.0,1743703,0
2026-03-10 00:00:00+05:30,779.95,792.75,779.95,789.9,1615258,0
2026-03-11 00:00:00+05:30,790.0,792.9,759.3,761.6,1027261,0
2026-03-12 00:00:00+05:30,762.0,764.3,749.35,757.15,4308894,0
2026-03-13 00:00:00+05:30,754.0,767.5,750.35,752.4,2232192,0
2026-03-16 00:00:00+05:30,751.1,752.95,738.5,750.1,1976708,0
2026-03-17 00:00:00+05:30,750.1,757.5,742.8,754.75,1054603,0
2026-03-18 00:00:00+05:30,754.75,759.45,750.4,756.0,1461880,0
2026-03-19 00:00:00+05:30,746.1,752.2,734.0,741.25,1305425,0
2026-03-20 00:00:00+05:30,750.0,750.0,740.2,744.3,1478190,0
2026-03-23 00:00:00+05:30,734.8,744.8,723.55,725.3,1774602,0
2026-03-24 00:00:00+05:30,732.0,745.4,724.45,739.1,1852576,0
2026-03-25 00:00:00+05:30,747.9,758.75,743.1,753.75,1755316,0
2026-03-27 00:00:00+05:30,744.0,752.75,739.6,742.45,2099063,0
2026-03-30 00:00:00+05:30,739.0,747.7,731.8,735.95,3461259,0
2026-04-01 00:00:00+05:30,752.0,754.3,740.0,744.5,2750153,0
2026-04-02 00:00:00+05:30,742.1,767.55,728.95,761.35,2858545,0
2026-04-06 00:00:00+05:30,764.0,770.35,742.45,750.55,2450748,0
2026-04-07 00:00:00+05:30,745.85,755.0,738.85,753.25,1819912,0
2026-04-08 00:00:00+05:30,772.0,772.0,746.25,747.45,2798459,0
2026-04-09 00:00:00+05:30,750.0,754.45,742.95,747.35,1822429,0
2026-04-10 00:00:00+05:30,753.4,764.0,748.6,763.25,2336600,0
2026-04-13 00:00:00+05:30,743.65,762.75,743.65,753.1,2117159,0
2026-04-15 00:00:00+05:30,761.5,764.5,752.55,755.55,2146350,0
2026-04-16 00:00:00+05:30,753.5,760.2,740.4,744.4,1973962,0
2026-04-17 00:00:00+05:30,744.6,760.95,741.35,757.3,2045877,0
2026-04-20 00:00:00+05:30,757.3,763.85,753.9,760.7,1301721,0
2026-04-21 00:00:00+05:30,760.0,764.95,754.6,762.5,913203,0
2026-04-22 00:00:00+05:30,764.0,776.5,758.45,772.5,1529460,0
2026-04-23 00:00:00+05:30,774.95,780.1,765.65,778.9,2177488,0
2026-04-24 00:00:00+05:30,783.9,787.1,769.4,783.3,2522454,0
2026-04-27 00:00:00+05:30,783.3,794.0,781.3,787.0,1072431,0
2026-04-28 00:00:00+05:30,785.0,790.0,775.75,780.85,669237,0
2026-04-29 00:00:00+05:30,781.8,791.2,775.9,779.3,861651,0
2026-04-30 00:00:00+05:30,778.1,779.5,765.65,775.0,1716176,0
2026-05-04 00:00:00+05:30,781.0,786.75,774.9,784.55,869429,0
2026-05-05 00:00:00+05:30,789.05,810.5,760.6,807.2,5184757,0
2026-05-06 00:00:00+05:30,826.2,843.15,811.75,814.8,5329489,0
2026-05-07 00:00:00+05:30,818.85,833.95,812.85,832.15,1949437,0
2026-05-08 00:00:00+05:30,832.15,836.5,825.1,831.3,1489246,0
