date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,879.0,885.0,848.2,861.5,533781,0
2026-01-13 00:00:00+05:30,864.0,895.0,857.0,891.95,397780,0
2026-01-14 00:00:00+05:30,888.0,890.85,861.85,864.05,726402,0
2026-01-16 00:00:00+05:30,870.0,894.0,867.95,882.4,878447,0
2026-01-19 00:00:00+05:30,882.0,895.0,874.7,881.15,372328,0
2026-01-20 00:00:00+05:30,881.0,881.15,840.6,852.1,691154,0
2026-01-21 00:00:00+05:30,850.0,850.0,828.0,833.35,452418,0
2026-01-22 00:00:00+05:30,840.95,860.0,831.0,842.75,434853,0
2026-01-23 00:00:00+05:30,849.95,850.8,817.6,823.95,359332,0
2026-01-27 00:00:00+05:30,820.0,823.7,795.8,798.95,806329,0
2026-01-28 00:00:00+05:30,805.0,842.0,801.3,834.8,838796,0
2026-01-29 00:00:00+05:30,840.0,868.4,832.1,861.6,961512,0
2026-01-30 00:00:00+05:30,870.0,919.2,868.0,878.1,3696740,0
2026-02-01 00:00:00+05:30,879.8,884.0,846.7,869.95,853316,0
2026-02-02 00:00:00+05:30,868.0,878.0,841.95,862.45,1025197,0
2026-02-03 00:00:00+05:30,1009.0,1009.0,914.0,929.0,3555559,0
2026-02-04 00:00:00+05:30,928.0,938.6,917.0,926.4,983391,0
2026-02-05 00:00:00+05:30,939.0,939.0,913.75,925.0,826463,0
2026-02-06 00:00:00+05:30,922.0,932.0,904.0,919.8,375447,0
2026-02-09 00:00:00+05:30,932.0,935.95,915.6,919.85,542409,0
2026-02-10 00:00:00+05:30,921.6,935.85,906.1,910.9,787813,0
2026-02-11 00:00:00+05:30,912.0,952.5,909.0,950.25,1231395,0
2026-02-12 00:00:00+05:30,944.05,973.9,942.0,965.45,1566282,0
2026-02-13 00:00:00+05:30,955.0,955.0,899.95,912.4,1020844,0
2026-02-16 00:00:00+05:30,912.4,942.75,906.0,923.7,722011,0
2026-02-17 00:00:00+05:30,923.7,947.65,918.65,944.0,304006,0
2026-02-18 00:00:00+05:30,950.0,981.85,943.0,978.55,688464,0
2026-02-19 00:00:00+05:30,981.0,992.3,930.0,940.85,571012,0
2026-02-20 00:00:00+05:30,941.15,962.0,940.0,957.05,602955,0
2026-02-23 00:00:00+05:30,957.05,988.0,953.55,985.05,695887,0
2026-02-24 00:00:00+05:30,985.0,985.0,964.25,977.15,725906,0
2026-02-25 00:00:00+05:30,987.5,987.5,962.0,975.7,396756,0
2026-02-26 00:00:00+05:30,971.05,975.0,934.0,943.65,716034,0
