date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,80.82,82.05,79.15,81.76,21694778,0
2026-01-13 00:00:00+05:30,82.16,82.47,81.1,82.12,14953959,0
2026-01-14 00:00:00+05:30,82.1,84.14,81.81,83.85,28795078,0
2026-01-16 00:00:00+05:30,83.85,84.05,82.31,82.74,20585800,0
2026-01-19 00:00:00+05:30,82.74,82.74,80.73,81.39,18976405,0
2026-01-20 00:00:00+05:30,81.39,81.95,78.32,78.84,18241676,0
2026-01-21 00:00:00+05:30,78.41,79.53,77.03,78.64,20666906,0
2026-01-22 00:00:00+05:30,79.03,80.45,77.84,78.23,18249016,0
2026-01-23 00:00:00+05:30,78.0,78.65,76.05,76.36,19489454,0
2026-01-27 00:00:00+05:30,77.36,79.37,76.42,78.84,28155161,0
2026-01-28 00:00:00+05:30,79.37,81.86,78.62,81.52,32245504,0
2026-01-29 00:00:00+05:30,81.8,85.05,81.77,84.6,71597178,0
2026-01-30 00:00:00+05:30,83.5,83.5,79.87,81.21,44472018,0
2026-02-01 00:00:00+05:30,80.0,83.4,78.65,80.38,33762048,0
2026-02-02 00:00:00+05:30,80.74,81.9,78.42,81.44,18052520,0
2026-02-03 00:00:00+05:30,83.9,84.5,80.81,81.65,35389808,0
2026-02-04 00:00:00+05:30,81.69,86.39,81.65,85.88,73789115,0
2026-02-05 00:00:00+05:30,86.13,86.14,83.41,84.6,36179651,0
2026-02-06 00:00:00+05:30,84.5,85.37,83.13,84.08,28578193,0
2026-02-09 00:00:00+05:30,85.0,85.62,83.8,84.47,26901417,0
2026-02-10 00:00:00+05:30,85.1,85.64,83.26,85.07,46795269,0
2026-02-11 00:00:00+05:30,85.5,86.07,84.41,85.46,36201965,0
2026-02-12 00:00:00+05:30,85.9,86.08,84.41,84.74,28926197,0
2026-02-13 00:00:00+05:30,81.5,81.9,79.16,79.43,31361483,0
2026-02-16 00:00:00+05:30,79.32,80.64,78.45,80.46,15298184,0
2026-02-17 00:00:00+05:30,80.39,80.39,78.55,79.03,14967133,0
2026-02-18 00:00:00+05:30,79.39,80.3,78.86,80.09,12495946,0
2026-02-19 00:00:00+05:30,80.5,81.05,78.73,79.22,17807737,0
2026-02-20 00:00:00+05:30,79.0,80.35,78.47,80.13,31810356,0
2026-02-23 00:00:00+05:30,81.0,81.0,78.1,78.91,17173430,0
2026-02-24 00:00:00+05:30,79.0,81.05,78.51,80.8,28891427,0
2026-02-25 00:00:00+05:30,81.0,82.14,80.4,81.86,26680650,0
2026-02-26 00:00:00+05:30,82.31,83.56,81.73,82.56,29910648,0
2026-02-27 00:00:00+05:30,82.31,83.26,80.75,81.74,16829779,0
2026-03-02 00:00:00+05:30,78.98,82.2,78.85,81.26,22982057,0
2026-03-04 00:00:00+05:30,80.0,80.38,76.0,76.71,31337830,0
2026-03-05 00:00:00+05:30,77.49,79.49,77.36,78.44,20259988,0
2026-03-06 00:00:00+05:30,78.0,81.91,77.95,79.79,32383963,0
2026-03-09 00:00:00+05:30,79.0,79.37,76.49,79.13,27385520,0
2026-03-10 00:00:00+05:30,80.1,80.65,79.13,79.67,17656054,0
2026-03-11 00:00:00+05:30,80.05,81.09,79.45,79.73,13889368,0
2026-03-12 00:00:00+05:30,79.3,81.6,77.54,80.87,20967907,0
2026-03-13 00:00:00+05:30,80.4,81.25,78.25,78.59,21709925,0
2026-03-16 00:00:00+05:30,78.59,78.96,76.61,77.56,17446342,0
2026-03-17 00:00:00+05:30,78.2,79.5,76.91,79.22,22084741,0
2026-03-18 00:00:00+05:30,79.22,79.98,78.26,79.49,15877573,0
2026-03-19 00:00:00+05:30,78.2,78.9,77.5,77.94,22414516,0
2026-03-20 00:00:00+05:30,78.01,81.32,78.01,79.78,39390638,0
2026-03-23 00:00:00+05:30,78.75,78.76,74.55,75.09,35184834,0
2026-03-24 00:00:00+05:30,77.45,77.45,74.92,76.77,22852797,0
2026-03-25 00:00:00+05:30,77.32,78.74,77.25,77.85,21760094,0
2026-03-27 00:00:00+05:30,77.59,78.29,76.55,77.2,25794674,0
2026-03-30 00:00:00+05:30,76.5,78.42,76.09,76.27,20168817,0
2026-04-01 00:00:00+05:30,78.56,79.48,77.74,78.17,27161656,0
2026-04-02 00:00:00+05:30,78.0,78.5,75.61,78.08,27259464,0
2026-04-06 00:00:00+05:30,78.68,82.29,78.02,81.4,52439160,0
2026-04-07 00:00:00+05:30,80.98,81.91,80.62,81.74,13939494,0
2026-04-08 00:00:00+05:30,83.25,84.3,82.6,82.91,23422589,0
2026-04-09 00:00:00+05:30,83.0,85.0,82.51,84.44,25196614,0
2026-04-10 00:00:00+05:30,85.0,86.3,83.91,85.07,23342535,0
2026-04-13 00:00:00+05:30,83.75,86.4,83.12,85.81,29197819,0
2026-04-15 00:00:00+05:30,87.0,87.97,86.63,87.17,21574292,0
2026-04-16 00:00:00+05:30,87.6,88.66,85.85,87.16,40443893,0
2026-04-17 00:00:00+05:30,87.5,90.15,87.26,89.78,41324296,0
2026-04-20 00:00:00+05:30,89.9,90.17,88.13,88.9,30415217,0
2026-04-21 00:00:00+05:30,89.83,89.94,87.42,88.47,24339172,0
2026-04-22 00:00:00+05:30,88.43,89.95,88.05,88.59,18410428,0
2026-04-23 00:00:00+05:30,88.41,88.54,86.63,87.31,25119407,0
2026-04-24 00:00:00+05:30,87.5,89.99,86.7,89.29,34794839,0
2026-04-27 00:00:00+05:30,90.25,91.2,89.81,90.42,37668047,0
2026-04-28 00:00:00+05:30,90.84,91.86,90.55,90.9,29317759,0
2026-04-29 00:00:00+05:30,91.5,92.77,89.93,91.73,27064617,0
2026-04-30 00:00:00+05:30,92.04,92.07,89.75,90.37,23931554,0
2026-05-04 00:00:00+05:30,91.0,91.71,88.3,89.09,19723503,0
2026-05-05 00:00:00+05:30,89.0,89.64,87.96,88.83,12339321,0
