date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,1417.7,1432.2,1400.4,1417.5,216981,0
2026-01-13 00:00:00+05:30,1420.0,1427.2,1402.1,1420.1,196706,0
2026-01-14 00:00:00+05:30,1413.1,1450.9,1413.0,1435.0,317448,0
2026-01-16 00:00:00+05:30,1448.0,1501.9,1442.1,1474.5,795884,0
2026-01-19 00:00:00+05:30,1468.0,1489.0,1450.5,1455.7,416788,0
2026-01-20 00:00:00+05:30,1455.0,1456.4,1416.9,1421.4,661994,0
2026-01-21 00:00:00+05:30,1414.0,1425.9,1354.7,1364.7,508413,0
2026-01-22 00:00:00+05:30,1380.0,1402.5,1367.6,1383.3,344673,0
2026-01-23 00:00:00+05:30,1385.1,1385.2,1324.6,1332.6,425570,0
2026-01-27 00:00:00+05:30,1310.3,1329.9,1234.0,1265.2,1490354,0
2026-01-28 00:00:00+05:30,1268.8,1334.0,1265.0,1322.5,851885,0
2026-01-29 00:00:00+05:30,1323.8,1333.9,1296.7,1330.1,503864,0
2026-01-30 00:00:00+05:30,1320.0,1355.4,1300.0,1345.4,302411,0
2026-02-01 00:00:00+05:30,1345.4,1356.9,1210.9,1246.3,1899671,0
2026-02-02 00:00:00+05:30,1230.3,1289.0,1223.0,1283.2,954796,0
2026-02-03 00:00:00+05:30,1350.0,1385.0,1336.8,1361.5,457838,0
2026-02-04 00:00:00+05:30,1362.9,1396.5,1338.6,1391.9,225253,0
2026-02-05 00:00:00+05:30,1387.0,1395.2,1365.0,1379.6,121013,0
2026-02-06 00:00:00+05:30,1382.0,1382.0,1324.5,1354.0,254887,0
2026-02-09 00:00:00+05:30,1375.0,1403.1,1365.0,1385.6,182026,0
2026-02-10 00:00:00+05:30,1394.0,1406.3,1368.0,1386.0,266150,0
2026-02-11 00:00:00+05:30,1370.0,1392.5,1302.9,1324.2,585522,0
2026-02-12 00:00:00+05:30,1324.0,1344.0,1302.1,1310.5,454852,0
2026-02-13 00:00:00+05:30,1297.4,1319.4,1280.7,1299.7,298028,0
2026-02-16 00:00:00+05:30,1259.6,1293.2,1235.4,1287.3,837645,0
2026-02-17 00:00:00+05:30,1286.9,1297.0,1266.3,1290.8,534242,0
2026-02-18 00:00:00+05:30,1298.9,1320.0,1296.4,1317.2,293183,0
2026-02-19 00:00:00+05:30,1323.0,1324.1,1283.5,1293.6,380851,0
2026-02-20 00:00:00+05:30,1298.4,1311.0,1280.8,1289.8,187016,0
2026-02-23 00:00:00+05:30,1298.6,1300.0,1248.7,1263.5,456618,0
2026-02-24 00:00:00+05:30,1270.0,1288.0,1256.6,1275.8,249614,0
2026-02-25 00:00:00+05:30,1281.8,1282.0,1261.9,1274.9,175943,0
2026-02-26 00:00:00+05:30,1278.0,1294.2,1267.7,1280.9,209363,0
2026-02-27 00:00:00+05:30,1269.0,1280.0,1231.0,1244.9,416379,0
2026-03-02 00:00:00+05:30,1188.8,1237.1,1187.8,1206.5,478751,0
2026-03-04 00:00:00+05:30,1200.0,1210.1,1178.1,1196.5,759299,0
2026-03-05 00:00:00+05:30,1200.1,1246.0,1200.1,1238.1,365340,0
2026-03-06 00:00:00+05:30,1243.5,1264.6,1221.2,1225.1,204216,0
2026-03-09 00:00:00+05:30,1200.0,1222.5,1171.1,1208.4,228552,0
2026-03-10 00:00:00+05:30,1224.0,1243.5,1220.0,1238.0,201281,0
2026-03-11 00:00:00+05:30,1235.1,1246.8,1208.3,1212.5,176763,0
2026-03-12 00:00:00+05:30,1204.1,1207.9,1175.6,1183.8,329254,0
2026-03-13 00:00:00+05:30,1189.0,1189.0,1152.0,1158.6,272719,0
2026-03-16 00:00:00+05:30,1150.0,1171.0,1136.8,1158.8,366061,0
2026-03-17 00:00:00+05:30,1170.0,1170.5,1149.5,1157.4,294411,0
2026-03-18 00:00:00+05:30,1169.0,1195.0,1158.0,1178.6,719132,0
2026-03-19 00:00:00+05:30,1153.5,1165.0,1144.9,1151.0,174882,0
2026-03-20 00:00:00+05:30,1158.2,1175.0,1142.5,1147.5,178025,0
2026-03-23 00:00:00+05:30,1140.0,1141.8,1096.9,1110.6,388532,0
2026-03-24 00:00:00+05:30,1150.0,1158.4,1108.9,1150.3,385998,0
2026-03-25 00:00:00+05:30,1156.0,1206.8,1149.9,1201.0,540971,0
2026-03-27 00:00:00+05:30,1190.1,1212.0,1190.0,1195.4,1082690,0
2026-03-30 00:00:00+05:30,1195.4,1195.4,1125.0,1161.1,715077,0
2026-04-01 00:00:00+05:30,1181.6,1200.2,1130.4,1138.9,820494,0
2026-04-02 00:00:00+05:30,1124.9,1149.4,1109.5,1142.6,364291,0
2026-04-06 00:00:00+05:30,1150.0,1180.8,1125.7,1174.4,424787,0
2026-04-07 00:00:00+05:30,1174.0,1181.4,1155.0,1176.3,306263,0
2026-04-08 00:00:00+05:30,1210.0,1290.6,1210.0,1281.0,687903,0
2026-04-09 00:00:00+05:30,1284.0,1321.8,1276.0,1294.8,329939,0
2026-04-10 00:00:00+05:30,1308.0,1327.9,1297.0,1306.5,206010,0
2026-04-13 00:00:00+05:30,1292.0,1304.9,1259.9,1296.1,191067,0
2026-04-15 00:00:00+05:30,1334.0,1348.9,1316.3,1340.6,260865,0
2026-04-16 00:00:00+05:30,1344.9,1377.6,1344.9,1366.4,481777,0
2026-04-17 00:00:00+05:30,1366.8,1410.0,1360.1,1400.7,368879,0
2026-04-20 00:00:00+05:30,1406.9,1415.0,1371.0,1379.1,368094,0
2026-04-21 00:00:00+05:30,1381.4,1398.0,1376.5,1391.5,206871,0
2026-04-22 00:00:00+05:30,1387.2,1404.0,1368.4,1371.7,514586,0
2026-04-23 00:00:00+05:30,1363.3,1382.0,1360.0,1376.7,241228,0
2026-04-24 00:00:00+05:30,1379.0,1389.9,1335.0,1346.0,409547,0
2026-04-27 00:00:00+05:30,1350.0,1373.5,1347.0,1359.6,245456,0
2026-04-28 00:00:00+05:30,1353.5,1391.2,1353.5,1378.3,315010,0
