date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,254.15,254.15,249.8,252.75,3172973,0
2026-01-13 00:00:00+05:30,253.7,256.0,248.4,254.6,8428359,0
2026-01-14 00:00:00+05:30,255.9,256.3,251.1,254.85,3678434,0
2026-01-16 00:00:00+05:30,251.0,256.7,249.4,252.85,2644636,0
2026-01-19 00:00:00+05:30,252.75,256.65,249.05,250.8,2578023,0
2026-01-20 00:00:00+05:30,249.55,250.2,241.15,242.35,3608580,0
2026-01-21 00:00:00+05:30,241.05,245.1,237.9,241.65,5412322,0
2026-01-22 00:00:00+05:30,242.6,248.2,236.5,239.45,2756840,0
2026-01-23 00:00:00+05:30,241.35,241.35,233.85,234.7,7359262,0
2026-01-27 00:00:00+05:30,235.0,238.9,232.0,236.5,7912935,0
2026-01-28 00:00:00+05:30,236.5,238.8,234.3,237.2,6064706,0
2026-01-29 00:00:00+05:30,238.3,239.0,233.85,237.9,4125273,0
2026-01-30 00:00:00+05:30,234.8,238.5,233.05,237.5,8061305,0
2026-02-01 00:00:00+05:30,235.25,243.54,235.25,240.33,1841722,0
2026-02-02 00:00:00+05:30,239.99,239.99,234.09,237.62,2763632,0
2026-02-03 00:00:00+05:30,242.0,248.72,242.0,245.41,7389809,0
2026-02-04 00:00:00+05:30,246.4,251.89,241.0,251.03,3228308,0
2026-02-05 00:00:00+05:30,253.05,263.24,252.02,258.29,13907681,0
2026-02-06 00:00:00+05:30,264.8,278.5,263.5,276.99,57686215,0
2026-02-09 00:00:00+05:30,277.0,283.53,273.81,277.86,13731621,0
2026-02-10 00:00:00+05:30,277.86,283.5,275.32,280.69,14436655,0
2026-02-11 00:00:00+05:30,281.26,285.6,275.9,277.54,8203914,0
2026-02-12 00:00:00+05:30,275.01,282.06,275.01,280.14,7460373,0
2026-02-13 00:00:00+05:30,279.39,280.25,269.88,270.95,8182107,0
2026-02-16 00:00:00+05:30,270.95,277.39,269.24,275.21,3543432,0
2026-02-17 00:00:00+05:30,276.1,276.38,268.37,271.31,3881124,0
2026-02-18 00:00:00+05:30,271.32,273.34,269.58,272.42,3063021,0
2026-02-19 00:00:00+05:30,273.77,274.4,266.24,267.46,3495032,0
2026-02-20 00:00:00+05:30,266.4,269.38,263.99,265.58,3764441,0
2026-02-23 00:00:00+05:30,267.0,269.5,264.4,266.73,2847147,0
2026-02-24 00:00:00+05:30,266.44,266.44,257.53,261.36,5703923,0
2026-02-25 00:00:00+05:30,265.0,268.4,262.66,266.63,4486992,0
2026-02-26 00:00:00+05:30,268.0,269.9,263.73,267.53,2819499,0
2026-02-27 00:00:00+05:30,266.35,268.0,263.01,265.48,5771186,0
2026-03-02 00:00:00+05:30,257.2,264.15,254.8,259.1,3396945,0
2026-03-04 00:00:00+05:30,252.55,259.0,250.0,255.7,3928159,0
2026-03-05 00:00:00+05:30,257.3,261.3,253.55,260.8,3145833,0
2026-03-06 00:00:00+05:30,259.0,262.55,253.25,254.8,3007325,0
2026-03-09 00:00:00+05:30,250.0,251.55,244.0,249.7,3084251,0
2026-03-10 00:00:00+05:30,251.45,258.4,250.6,256.8,3860987,0
2026-03-11 00:00:00+05:30,257.9,259.4,250.55,251.7,4786191,0
2026-03-12 00:00:00+05:30,249.05,250.1,243.55,244.95,3655162,0
