date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,595.7,601.05,581.75,595.55,2179270,0
2026-01-13 00:00:00+05:30,597.55,600.8,580.35,591.7,1327548,0
2026-01-14 00:00:00+05:30,588.0,599.65,584.6,587.3,1129651,0
2026-01-16 00:00:00+05:30,587.3,600.4,582.6,585.75,1647042,0
2026-01-19 00:00:00+05:30,582.0,586.7,567.65,575.45,1266180,0
2026-01-20 00:00:00+05:30,570.5,572.95,549.1,551.4,2281119,0
2026-01-21 00:00:00+05:30,549.5,551.5,524.25,533.0,2879058,0
2026-01-22 00:00:00+05:30,540.0,549.0,525.6,530.4,1330291,0
2026-01-23 00:00:00+05:30,527.0,545.85,507.65,510.35,1960594,0
2026-01-27 00:00:00+05:30,520.0,524.85,506.4,518.55,2259696,0
2026-01-28 00:00:00+05:30,518.65,544.0,518.65,540.05,1407305,0
2026-01-29 00:00:00+05:30,542.0,548.0,523.05,528.8,2244657,0
2026-01-30 00:00:00+05:30,525.0,564.2,520.75,547.7,4531512,0
2026-02-01 00:00:00+05:30,547.7,566.9,532.7,541.5,1252272,0
2026-02-02 00:00:00+05:30,541.5,566.0,526.25,562.8,3502398,0
2026-02-03 00:00:00+05:30,588.05,609.2,543.5,562.1,13130434,0
2026-02-04 00:00:00+05:30,561.3,595.5,560.7,591.35,4632840,0
2026-02-05 00:00:00+05:30,595.0,595.0,579.3,584.95,1278505,0
2026-02-06 00:00:00+05:30,579.7,588.0,562.35,584.9,2196786,0
2026-02-09 00:00:00+05:30,590.0,604.65,585.95,593.15,2974053,0
2026-02-10 00:00:00+05:30,599.0,615.6,595.5,601.8,3360946,0
2026-02-11 00:00:00+05:30,604.0,624.95,597.0,617.75,2672676,0
2026-02-12 00:00:00+05:30,616.95,628.4,608.8,623.65,1671768,0
2026-02-13 00:00:00+05:30,615.0,622.45,601.9,615.45,1419692,0
2026-02-16 00:00:00+05:30,613.3,626.25,608.5,619.6,1595054,0
2026-02-17 00:00:00+05:30,615.2,628.9,612.05,626.55,1111161,0
2026-02-18 00:00:00+05:30,630.95,632.0,618.3,627.3,1059584,0
2026-02-19 00:00:00+05:30,625.8,630.6,604.2,606.8,850389,0
2026-02-20 00:00:00+05:30,603.0,620.0,603.0,614.2,1026314,0
2026-02-23 00:00:00+05:30,614.2,622.95,600.6,607.15,1354151,0
2026-02-24 00:00:00+05:30,602.1,619.9,602.1,613.35,1369357,0
2026-02-25 00:00:00+05:30,614.95,626.3,609.5,621.7,1578456,0
2026-02-26 00:00:00+05:30,621.7,631.7,619.0,624.65,1039233,0
2026-02-27 00:00:00+05:30,621.0,634.65,616.55,627.9,1612812,0
2026-03-02 00:00:00+05:30,595.05,620.35,595.05,617.3,1893193,0
2026-03-04 00:00:00+05:30,600.0,606.95,576.3,592.95,2730154,0
2026-03-05 00:00:00+05:30,597.0,617.8,583.1,614.45,2091798,0
2026-03-06 00:00:00+05:30,610.0,620.75,606.05,609.25,1329197,0
2026-03-09 00:00:00+05:30,599.0,599.0,517.5,522.35,11304952,0
2026-03-10 00:00:00+05:30,532.0,552.0,517.0,544.1,10824110,0
2026-03-11 00:00:00+05:30,553.0,564.4,544.75,550.1,4609367,0
2026-03-12 00:00:00+05:30,544.95,546.8,527.0,532.2,3360029,0
2026-03-13 00:00:00+05:30,530.0,534.4,490.65,502.2,10933102,0
2026-03-16 00:00:00+05:30,504.15,510.95,486.0,507.35,4784689,0
2026-03-17 00:00:00+05:30,513.3,529.0,511.6,523.85,5305764,0
2026-03-18 00:00:00+05:30,529.75,542.55,525.4,536.85,2950926,0
2026-03-19 00:00:00+05:30,519.85,526.45,502.2,504.6,3658602,0
2026-03-20 00:00:00+05:30,511.95,520.95,507.4,512.75,3262832,0
2026-03-23 00:00:00+05:30,500.0,500.0,481.2,494.7,4164822,0
2026-03-24 00:00:00+05:30,506.0,506.0,485.65,501.7,3915828,0
2026-03-25 00:00:00+05:30,515.0,546.9,513.65,517.2,8024061,0
2026-03-27 00:00:00+05:30,512.05,514.95,485.6,488.0,3276476,0
2026-03-30 00:00:00+05:30,480.0,494.7,467.0,469.9,3987020,0
2026-04-01 00:00:00+05:30,486.95,500.0,474.6,480.9,3199679,0
2026-04-02 00:00:00+05:30,472.0,474.95,443.05,454.45,7516982,0
2026-04-06 00:00:00+05:30,455.8,457.65,436.55,451.65,6915579,0
2026-04-07 00:00:00+05:30,451.6,451.6,437.3,440.65,5549876,0
2026-04-08 00:00:00+05:30,471.1,493.0,462.3,482.35,8706149,0
2026-04-09 00:00:00+05:30,480.0,483.9,462.2,479.8,6332528,0
2026-04-10 00:00:00+05:30,486.4,503.85,484.15,486.75,4608168,0
2026-04-13 00:00:00+05:30,470.45,490.65,462.25,486.85,3213698,0
2026-04-15 00:00:00+05:30,502.0,544.25,494.75,537.9,12552393,0
2026-04-16 00:00:00+05:30,538.5,560.85,538.5,557.65,6605253,0
2026-04-17 00:00:00+05:30,558.05,565.0,551.35,561.4,2859883,0
2026-04-20 00:00:00+05:30,561.0,566.75,549.25,559.05,2277436,0
2026-04-21 00:00:00+05:30,559.55,569.75,559.35,562.15,1801968,0
2026-04-22 00:00:00+05:30,559.95,577.95,556.2,568.65,2811624,0
2026-04-23 00:00:00+05:30,564.1,569.55,548.4,550.5,2918930,0
2026-04-24 00:00:00+05:30,552.1,558.5,542.75,547.15,2152348,0
2026-04-27 00:00:00+05:30,554.9,570.0,550.6,564.5,2482814,0
2026-04-28 00:00:00+05:30,566.0,571.6,557.8,563.05,1907002,0
2026-04-29 00:00:00+05:30,565.5,567.9,546.8,550.75,1917272,0
2026-04-30 00:00:00+05:30,545.0,545.0,519.05,534.0,4643646,0
2026-05-04 00:00:00+05:30,537.0,538.85,526.55,534.5,1195984,0
2026-05-05 00:00:00+05:30,532.0,547.45,530.65,532.35,1335371,0
2026-05-06 00:00:00+05:30,536.25,547.65,530.55,544.5,1638893,0
2026-05-07 00:00:00+05:30,547.0,549.75,532.9,535.5,2025640,0
2026-05-08 00:00:00+05:30,536.0,536.0,524.65,530.35,1809874,0
