date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,333.45,333.9,323.1,331.65,9252024,0
2026-01-13 00:00:00+05:30,334.0,337.65,325.05,330.2,7141388,0
2026-01-14 00:00:00+05:30,329.5,341.9,328.0,338.3,10947879,0
2026-01-16 00:00:00+05:30,341.0,344.95,333.5,335.15,6964569,0
2026-01-19 00:00:00+05:30,332.95,337.7,329.8,331.3,5086365,0
2026-01-20 00:00:00+05:30,331.3,331.55,318.95,320.3,7883696,0
2026-01-21 00:00:00+05:30,318.0,324.15,313.8,317.1,8128372,0
2026-01-22 00:00:00+05:30,322.6,330.5,319.35,329.0,7930048,0
2026-01-23 00:00:00+05:30,331.0,334.8,323.4,325.15,6752882,0
2026-01-27 00:00:00+05:30,327.9,328.3,321.05,323.9,6925291,0
2026-01-28 00:00:00+05:30,328.4,344.2,326.5,342.5,12410845,0
2026-01-29 00:00:00+05:30,348.55,352.8,331.2,341.45,27044493,0
2026-01-30 00:00:00+05:30,337.9,344.9,331.8,343.4,14048559,0
2026-02-01 00:00:00+05:30,343.4,351.6,309.1,326.55,35645158,0
2026-02-02 00:00:00+05:30,320.0,325.5,312.05,322.8,15366228,0
2026-02-03 00:00:00+05:30,334.4,339.0,323.0,324.65,9101195,0
2026-02-04 00:00:00+05:30,323.7,323.9,318.75,321.0,7624858,0
2026-02-05 00:00:00+05:30,321.0,324.2,316.0,316.6,5886319,0
2026-02-06 00:00:00+05:30,315.25,316.25,310.5,314.1,6474773,0
2026-02-09 00:00:00+05:30,315.0,322.5,314.5,317.25,6233149,0
2026-02-10 00:00:00+05:30,319.0,324.8,316.55,319.45,9489579,0
2026-02-11 00:00:00+05:30,316.5,319.3,313.2,316.55,5142291,0
2026-02-12 00:00:00+05:30,315.9,315.9,309.1,313.7,9189505,0
2026-02-13 00:00:00+05:30,309.95,311.45,306.0,308.95,8168629,0
2026-02-16 00:00:00+05:30,306.5,311.9,304.1,309.65,5843907,0
2026-02-17 00:00:00+05:30,308.95,311.7,307.2,308.75,4740580,0
2026-02-18 00:00:00+05:30,308.8,311.5,306.8,309.65,5539696,0
2026-02-19 00:00:00+05:30,310.9,314.45,305.0,306.85,8070615,0
2026-02-20 00:00:00+05:30,305.5,313.9,303.0,312.1,9829650,0
2026-02-23 00:00:00+05:30,313.0,320.9,310.0,319.2,8267917,0
