date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,49.3,49.38,47.9,49.2,66498246,0
2026-01-13 00:00:00+05:30,49.55,49.7,47.8,48.69,75354673,0
2026-01-14 00:00:00+05:30,48.49,49.8,48.16,49.01,55863563,0
2026-01-16 00:00:00+05:30,49.02,49.36,48.15,48.45,105047207,0
2026-01-19 00:00:00+05:30,48.69,48.92,47.45,47.98,52924798,0
2026-01-20 00:00:00+05:30,47.98,48.33,46.2,46.34,60935304,0
2026-01-21 00:00:00+05:30,46.3,46.69,45.37,45.53,78076574,0
2026-01-22 00:00:00+05:30,46.4,47.2,45.75,46.99,56239464,0
2026-01-23 00:00:00+05:30,47.4,47.4,45.55,45.7,49252985,0
2026-01-27 00:00:00+05:30,45.85,46.25,44.88,45.79,62941841,0
2026-01-28 00:00:00+05:30,46.01,48.0,46.01,47.8,59993734,0
2026-01-29 00:00:00+05:30,48.03,48.09,46.63,47.44,55397230,0
2026-01-30 00:00:00+05:30,47.43,47.97,46.79,47.67,60762661,0
2026-02-01 00:00:00+05:30,48.21,48.95,45.95,46.17,67892850,0
2026-02-02 00:00:00+05:30,46.5,47.25,45.41,46.99,45471127,0
2026-02-03 00:00:00+05:30,49.31,49.69,48.42,49.16,78516505,0
2026-02-04 00:00:00+05:30,49.26,50.0,48.8,49.77,55580192,0
2026-02-05 00:00:00+05:30,50.0,50.02,47.0,47.85,121302173,0
2026-02-06 00:00:00+05:30,47.85,48.2,47.25,48.04,57960744,0
2026-02-09 00:00:00+05:30,48.26,48.57,47.61,48.19,51743958,0
2026-02-10 00:00:00+05:30,48.2,48.39,47.55,47.69,40362194,0
2026-02-11 00:00:00+05:30,47.71,47.74,46.7,47.38,57124692,0
2026-02-12 00:00:00+05:30,47.3,47.55,46.72,46.81,38946281,0
2026-02-13 00:00:00+05:30,46.6,46.74,45.55,45.67,52618195,0
2026-02-16 00:00:00+05:30,45.67,46.33,45.34,46.21,39325966,0
2026-02-17 00:00:00+05:30,46.19,46.57,45.71,45.94,39827932,0
2026-02-18 00:00:00+05:30,45.95,46.29,45.81,46.09,22066437,0
2026-02-19 00:00:00+05:30,46.05,46.39,45.0,45.25,36681650,0
2026-02-20 00:00:00+05:30,45.2,45.35,44.26,44.46,61647383,0
2026-02-23 00:00:00+05:30,44.56,44.96,43.83,44.25,49442100,0
2026-02-24 00:00:00+05:30,44.25,44.39,43.36,44.13,56568697,0
2026-02-25 00:00:00+05:30,44.34,44.74,42.6,43.18,75839738,0
2026-02-26 00:00:00+05:30,43.18,43.9,42.87,43.27,49800911,0
2026-02-27 00:00:00+05:30,43.27,43.3,42.45,42.67,85724851,0
2026-03-02 00:00:00+05:30,39.13,41.79,39.13,40.95,116013965,0
2026-03-04 00:00:00+05:30,40.2,40.55,39.7,39.93,71113339,0
2026-03-05 00:00:00+05:30,40.25,40.64,39.22,40.25,89173308,0
2026-03-06 00:00:00+05:30,40.25,40.99,39.85,39.99,63058597,0
2026-03-09 00:00:00+05:30,39.49,39.76,38.19,39.62,71721599,0
2026-03-10 00:00:00+05:30,40.38,41.64,40.0,41.45,70866917,0
2026-03-11 00:00:00+05:30,41.72,42.06,41.4,41.62,64189593,0
2026-03-12 00:00:00+05:30,41.51,43.54,40.93,42.43,108432510,0
2026-03-13 00:00:00+05:30,42.42,42.83,40.98,41.41,79497665,0
2026-03-16 00:00:00+05:30,41.49,42.23,40.72,41.01,81266796,0
2026-03-17 00:00:00+05:30,41.5,41.6,40.51,41.27,70423021,0
2026-03-18 00:00:00+05:30,41.34,42.3,41.21,42.06,58427254,0
2026-03-19 00:00:00+05:30,41.2,41.79,40.82,41.09,55593734,0
2026-03-20 00:00:00+05:30,41.4,42.73,41.34,41.95,71960845,0
2026-03-23 00:00:00+05:30,41.76,41.76,39.7,39.94,68192562,0
2026-03-24 00:00:00+05:30,41.3,41.3,39.95,41.04,65440981,0
2026-03-25 00:00:00+05:30,41.5,42.85,41.43,42.27,76079784,0
2026-03-27 00:00:00+05:30,41.85,42.05,40.6,40.82,73603173,0
2026-03-30 00:00:00+05:30,40.0,40.81,39.1,39.56,126591848,0
2026-04-01 00:00:00+05:30,41.39,41.59,40.8,41.12,58512083,0
2026-04-02 00:00:00+05:30,40.5,40.98,39.77,40.78,64825364,0
2026-04-06 00:00:00+05:30,40.9,41.73,39.84,41.59,66648727,0
2026-04-07 00:00:00+05:30,41.29,41.9,40.93,41.55,39145918,0
2026-04-08 00:00:00+05:30,43.4,44.38,42.63,44.23,98803804,0
2026-04-09 00:00:00+05:30,44.23,44.56,43.36,44.23,80302508,0
2026-04-10 00:00:00+05:30,44.48,45.65,44.38,45.32,67332752,0
2026-04-13 00:00:00+05:30,44.5,46.41,43.89,45.86,132245471,0
2026-04-15 00:00:00+05:30,47.0,49.36,46.73,49.13,215457241,0
2026-04-16 00:00:00+05:30,50.03,50.53,49.01,50.25,161130833,0
2026-04-17 00:00:00+05:30,50.79,53.74,50.57,52.93,337159969,0
2026-04-20 00:00:00+05:30,53.34,53.45,51.87,52.5,153681261,0
2026-04-21 00:00:00+05:30,52.81,53.35,52.26,53.1,114713319,0
2026-04-22 00:00:00+05:30,53.15,54.7,52.9,54.57,147736421,0
2026-04-23 00:00:00+05:30,54.51,55.05,53.52,53.73,114711783,0
2026-04-24 00:00:00+05:30,53.9,54.25,52.93,53.91,103128445,0
2026-04-27 00:00:00+05:30,54.26,57.48,54.26,56.93,215958603,0
2026-04-28 00:00:00+05:30,57.15,57.87,56.9,57.32,138320111,0
2026-04-29 00:00:00+05:30,57.75,58.06,56.4,56.81,127240966,0
2026-04-30 00:00:00+05:30,56.5,56.5,55.0,55.58,102354018,0
2026-05-04 00:00:00+05:30,56.2,56.35,54.07,54.96,103192022,0
2026-05-05 00:00:00+05:30,54.95,56.0,54.56,54.85,71812106,0
2026-05-06 00:00:00+05:30,55.29,55.31,53.31,54.32,90584507,0
2026-05-07 00:00:00+05:30,54.59,55.87,53.75,55.65,98244179,0
2026-05-08 00:00:00+05:30,55.9,55.92,54.57,54.97,56797248,0
