date,open,high,low,close,volume,oi
2026-01-12 00:00:00+05:30,260.7,264.5,259.05,263.1,3802164,0
2026-01-13 00:00:00+05:30,263.45,264.85,261.3,264.2,6931244,0
2026-01-14 00:00:00+05:30,264.0,264.0,259.6,260.2,5625861,0
2026-01-16 00:00:00+05:30,263.25,269.8,263.0,267.45,12028289,0
2026-01-19 00:00:00+05:30,252.0,252.0,241.55,245.95,65833247,0
2026-01-20 00:00:00+05:30,245.95,246.0,239.4,239.9,16796201,0
2026-01-21 00:00:00+05:30,239.9,242.6,237.6,239.55,14397792,0
2026-01-22 00:00:00+05:30,242.0,242.9,239.2,240.65,8537915,0
2026-01-23 00:00:00+05:30,242.3,243.55,237.85,238.4,13546802,0
2026-01-27 00:00:00+05:30,235.2,236.4,231.75,234.8,15677537,0
2026-01-28 00:00:00+05:30,235.5,238.1,234.95,237.35,10155128,0
2026-01-29 00:00:00+05:30,236.2,240.9,235.45,239.8,12201949,0
2026-01-30 00:00:00+05:30,238.0,238.0,235.3,236.9,11362317,0
2026-02-01 00:00:00+05:30,236.8,247.23,235.44,241.8,21033580,0
2026-02-02 00:00:00+05:30,244.0,244.08,239.29,242.3,12335721,0
2026-02-03 00:00:00+05:30,259.21,259.89,242.28,242.69,25915412,0
2026-02-04 00:00:00+05:30,235.91,235.92,226.26,233.34,25995324,0
2026-02-05 00:00:00+05:30,233.34,235.57,231.7,233.39,10102736,0
2026-02-06 00:00:00+05:30,232.93,232.93,228.6,230.72,12279085,0
2026-02-09 00:00:00+05:30,231.85,232.93,229.61,230.08,9112474,0
2026-02-10 00:00:00+05:30,229.98,232.86,227.2,231.47,12435622,0
2026-02-11 00:00:00+05:30,231.47,233.0,229.5,229.81,7874912,0
2026-02-12 00:00:00+05:30,226.2,226.26,218.5,219.08,40899346,0
2026-02-13 00:00:00+05:30,210.65,216.48,209.01,214.09,23721186,0
2026-02-16 00:00:00+05:30,214.62,216.91,210.11,213.26,20754327,0
2026-02-17 00:00:00+05:30,213.26,219.39,212.26,215.69,26941553,0
2026-02-18 00:00:00+05:30,216.2,216.4,210.26,211.95,22679760,0
2026-02-19 00:00:00+05:30,214.0,215.44,210.4,211.21,14151588,0
2026-02-20 00:00:00+05:30,209.7,211.96,208.25,209.86,17690420,0
2026-02-23 00:00:00+05:30,210.36,211.74,204.28,205.89,20946229,0
2026-02-24 00:00:00+05:30,203.0,203.29,199.36,200.14,25036686,0
2026-02-25 00:00:00+05:30,201.31,205.48,201.31,201.92,13979068,0
2026-02-26 00:00:00+05:30,203.71,204.63,199.12,201.08,14378069,0
2026-02-27 00:00:00+05:30,204.0,204.0,200.05,200.96,13288519,0
2026-03-02 00:00:00+05:30,195.0,200.36,194.7,198.57,10486866,0
2026-03-04 00:00:00+05:30,196.01,197.12,194.51,195.55,19562075,0
2026-03-05 00:00:00+05:30,196.4,196.97,193.22,195.68,13149281,0
2026-03-06 00:00:00+05:30,195.6,198.93,195.0,195.4,9022914,0
2026-03-09 00:00:00+05:30,194.0,199.5,193.03,198.75,25862728,0
2026-03-10 00:00:00+05:30,200.5,201.31,197.42,200.93,12982340,0
2026-03-11 00:00:00+05:30,202.69,205.95,201.58,202.23,29199002,0
2026-03-12 00:00:00+05:30,201.06,203.8,199.7,202.51,19042475,0
2026-03-13 00:00:00+05:30,200.6,202.07,196.04,197.58,12629652,0
2026-03-16 00:00:00+05:30,196.24,198.29,192.77,195.11,12631649,0
2026-03-17 00:00:00+05:30,195.0,195.11,188.25,191.32,21778468,0
2026-03-18 00:00:00+05:30,193.0,198.0,192.69,194.3,24529164,0
2026-03-19 00:00:00+05:30,191.98,192.79,187.68,188.41,13685195,0
2026-03-20 00:00:00+05:30,191.19,192.3,188.41,190.9,24395304,0
2026-03-23 00:00:00+05:30,189.41,190.62,187.0,187.54,12014988,0
2026-03-24 00:00:00+05:30,191.5,191.5,187.8,188.74,11843191,0
2026-03-25 00:00:00+05:30,189.0,190.62,187.9,189.05,13862888,0
2026-03-27 00:00:00+05:30,189.05,192.29,187.9,191.6,26269256,0
2026-03-30 00:00:00+05:30,189.99,191.63,186.5,187.64,27946986,0
2026-04-01 00:00:00+05:30,191.51,194.49,190.41,191.18,11769673,0
2026-04-02 00:00:00+05:30,190.5,195.34,188.58,194.91,16623045,0
2026-04-06 00:00:00+05:30,197.0,201.18,196.11,197.29,23282287,0
2026-04-07 00:00:00+05:30,197.01,205.27,197.01,204.72,24771466,0
2026-04-08 00:00:00+05:30,207.7,209.0,202.8,203.42,22084158,0
2026-04-09 00:00:00+05:30,203.71,204.16,201.63,202.87,14540807,0
2026-04-10 00:00:00+05:30,208.7,208.7,200.62,204.88,51219565,0
2026-04-13 00:00:00+05:30,203.01,203.4,200.31,202.97,21930624,0
2026-04-15 00:00:00+05:30,206.5,210.49,205.1,209.75,27890080,0
2026-04-16 00:00:00+05:30,212.98,212.98,208.21,210.26,36305074,0
2026-04-17 00:00:00+05:30,205.0,206.45,202.5,204.32,80542603,0
2026-04-20 00:00:00+05:30,204.5,205.2,202.0,202.48,27927164,0
2026-04-21 00:00:00+05:30,203.0,205.7,202.48,205.01,21530723,0
2026-04-22 00:00:00+05:30,203.5,205.38,202.2,204.0,21790433,0
2026-04-23 00:00:00+05:30,204.0,204.9,202.3,202.76,20307250,0
2026-04-24 00:00:00+05:30,202.75,202.75,197.88,199.36,39363394,0
2026-04-27 00:00:00+05:30,199.36,205.25,199.36,205.05,42632215,0
2026-04-28 00:00:00+05:30,204.56,205.68,201.02,201.58,23455983,0
2026-04-29 00:00:00+05:30,201.58,203.6,200.3,200.68,15667662,0
2026-04-30 00:00:00+05:30,200.89,202.15,200.0,200.65,15300274,0
2026-05-04 00:00:00+05:30,202.4,203.37,200.06,200.75,8446995,0
2026-05-05 00:00:00+05:30,200.0,202.3,199.6,199.78,8899200,0
2026-05-06 00:00:00+05:30,200.51,201.13,198.25,199.12,13166683,0
2026-05-07 00:00:00+05:30,199.5,200.28,197.19,197.36,19303572,0
2026-05-08 00:00:00+05:30,198.0,198.94,196.7,197.91,15970687,0
